,job,L1,L2,amount,L3,L4
15,งานอํานวยการและบริหารสํานักงานเขต,"2. งบดําเนินงาน 5,620,050 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 4,192,850 บาท","3,389,800","2.1.2 ค่าใช้สอย 3,389,800 บาท",
16,งานอํานวยการและบริหารสํานักงานเขต,"2. งบดําเนินงาน 5,620,050 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 4,192,850 บาท","453,400","2.1.3 ค่าวัสดุ 453,400 บาท",
17,งานอํานวยการและบริหารสํานักงานเขต,"2. งบดําเนินงาน 5,620,050 บาท","2.2 ค่าสาธารณูปโภค[ | 1,427,200 บาท","1,427,200",,
18,งานปกครอง,"3. งบลงทุน 5,900 บาท","05108-4 ตู้เหล็กแบบ 2 บาน 1 ตู้ 5,900 บาท","5,900",,
19,งานปกครอง,"3. งบลงทุน 5,900 บาท",1.1 เงินเดือน 4.487 220 บาท,"3,915,000","01101-1 อัตราเดิม 9 อัตรา 3,915,000 บาท",
20,งานปกครอง,"3. งบลงทุน 5,900 บาท",1.1 เงินเดือน 4.487 220 บาท,"234,900","01102-1 เงินเลื่อนขั้น 234,900 บาท",
21,งานปกครอง,"3. งบลงทุน 5,900 บาท",1.1 เงินเดือน 4.487 220 บาท,"152,640","01106-1 เงินประจําตําแหน่ง 152,640 บาท",
22,งานปกครอง,"3. งบลงทุน 5,900 บาท",1.1 เงินเดือน 4.487 220 บาท,"5,280","01108-1 เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ 5,280 บาท",
23,งานปกครอง,"3. งบลงทุน 5,900 บาท",1.1 เงินเดือน 4.487 220 บาท,"1,560","01109-1 เงินช่วยเหลือค่าครองชีพของข้าราชการ 1,560 บาท",
24,งานปกครอง,"3. งบลงทุน 5,900 บาท","1.2 ค่าจ้างประจํา[ ] 847,020 บาท",755100,01201-1 อัตราเดิม 4 อัตรา 755100 บาท,
25,งานปกครอง,"3. งบลงทุน 5,900 บาท","1.2 ค่าจ้างประจํา[ ] 847,020 บาท",45300,01202-1 เงินเพิ่มค่าจ้างประจํา 45300 บาท,
26,งานปกครอง,"3. งบลงทุน 5,900 บาท","1.2 ค่าจ้างประจํา[ ] 847,020 บาท","28,800","01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 28,800 บาท",
27,งานปกครอง,"3. งบลงทุน 5,900 บาท","1.2 ค่าจ้างประจํา[ ] 847,020 บาท","17,820","01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 17,820 บาท",
28,งานปกครอง,"3. งบลงทุน 5,900 บาท","1.3 ค่าจ้างชั่วคราว[ ] 172,800 บาท","135,360","02101-1 ค่าจ้างชั่วคราว 1 อัตรา 135,360 บาท",
29,งานปกครอง,"3. งบลงทุน 5,900 บาท","1.3 ค่าจ้างชั่วคราว[ ] 172,800 บาท","8,640","02102-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว 8,640 บาท",
30,งานปกครอง,"3. งบลงทุน 5,900 บาท","1.3 ค่าจ้างชั่วคราว[ ] 172,800 บาท","28,800","02103-1 เงินช่วยเหลือค่าครองซีพของลูกจ้างชั่วคราว 28,800 บาท",
31,งานปกครอง,"3. งบลงทุน 5,900 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ| ] 8,640 บาท","8,640",,
32,งานปกครอง,"2. งบดําเนินงาน 2,179,650 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 38,850 บาท","38,850",,
33,งานปกครอง,"2. งบดําเนินงาน 2,179,650 บาท","2.2 ค่าสาธารณูปโภค[ | 2,140,800 บาท","2,140,800",,
34,งานบริหารทั่วไปและบริการทะเบียน,"3. งบรายจ่ายอื่น 352,000 บาท","07110-1 ค่าใช้จ่ายเกี่ยวกับการสนับสนุนกิจการอาสาสมัคร ป้องกันภัยฝ่ายพลเรือน 352,000 บาท","352,000",,
35,งานบริหารทั่วไปและบริการทะเบียน,"3. งบรายจ่ายอื่น 352,000 บาท","1.1 เงินเดือน 6,915,200 บาท","6,493,800","01101-1 อัตราเดิม 21 อัตรา 6,493,800 บาท",
36,งานบริหารทั่วไปและบริการทะเบียน,"3. งบรายจ่ายอื่น 352,000 บาท","1.1 เงินเดือน 6,915,200 บาท",379.400,01102-1 เงินเลื่อนขั้น 379.400 บาท,
37,งานบริหารทั่วไปและบริการทะเบียน,"3. งบรายจ่ายอื่น 352,000 บาท","1.1 เงินเดือน 6,915,200 บาท","42,000","01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 42,000 บาท",
38,งานบริหารทั่วไปและบริการทะเบียน,"3. งบรายจ่ายอื่น 352,000 บาท","1.2 ค่าจ้างประจํา[ ] 570,400 บาท","539,000","01201-1 อัตราเดิม 2 อัตรา 539,000 บาท",
39,งานบริหารทั่วไปและบริการทะเบียน,"3. งบรายจ่ายอื่น 352,000 บาท","1.2 ค่าจ้างประจํา[ ] 570,400 บาท","31,400","01202-1 เงินเพิ่มค่าจ้างประจํา 31,400 บาท",
40,งานบริหารทั่วไปและบริการทะเบียน,"3. งบรายจ่ายอื่น 352,000 บาท","1.2 ค่าจ้างประจํา[ ] 570,400 บาท",2.600,"357 7 งกาย 2,600 บาท",03611-1 2.600 บาท
41,งานบริหารทั่วไปและบริการทะเบียน,"2. งบดําเนินงาน 1,494,800 บาท","2.1 ค่าตอบแทน 446,900 บาท","446,900",,
42,งานบริหารทั่วไปและบริการทะเบียน,"2. งบดําเนินงาน 1,494,800 บาท","2.2 ค่าใช้สอย 390,200 บาท","390,200",,
43,งานบริหารทั่วไปและบริหารการคลัง,"2. งบดําเนินงาน 1,494,800 บาท","2.3 ค่าวัสดุ 657,700 บาท","5,084,100","6 ค่าวัสดุยานพาหนะ ค่าวัสดุสํานักงาน ค่าชุดแต่งกายให้แก่เจ้าหน้าที่ประจําศูนย์บริหารราชการ ฉับไวใสสะอาด .8 5 8 6เลละ : 856) งานบริหารทั่วไปและบริหารการคลัง 6,259,500 บาท 1.งบบุคลากร 5,084,100 บาท",
44,งานบริหารทั่วไปและบริหารการคลัง,"2. งบดําเนินงาน 1,494,800 บาท","1.1 เงินเดือน 4,666,200 บาท","4,362,400","01101-1 อัตราเดิม 15 อัตรา 4,362,400 บาท",
45,งานบริหารทั่วไปและบริหารการคลัง,"2. งบดําเนินงาน 1,494,800 บาท","1.1 เงินเดือน 4,666,200 บาท","261,800","01102-1 เงินเลื่อนขั้น 261,800 บาท",
46,งานบริหารทั่วไปและบริหารการคลัง,"2. งบดําเนินงาน 1,494,800 บาท","1.2 ค่าจ้างประจํา[ ] 326,400 บาท","282,400","01201-1 อัตราเดิม 2 อัตรา 282,400 บาท",
47,งานบริหารทั่วไปและบริหารการคลัง,"2. งบดําเนินงาน 1,494,800 บาท","1.2 ค่าจ้างประจํา[ ] 326,400 บาท","17,000","01202-1 เงินเพิ่มค่าจ้างประจํา 17,000 บาท",
48,งานบริหารทั่วไปและบริหารการคลัง,"2. งบดําเนินงาน 1,494,800 บาท","1.2 ค่าจ้างประจํา[ ] 326,400 บาท","17,000","01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 17,000 บาท",
49,งานบริหารทั่วไปและบริหารการคลัง,"2. งบดําเนินงาน 1,494,800 บาท","1.2 ค่าจ้างประจํา[ ] 326,400 บาท","10,000","01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 10,000 บาท",
50,งานบริหารทั่วไปและบริหารการคลัง,"2. งบดําเนินงาน 1,494,800 บาท","1.3 ค่าตอบแทน ใช้สอยและวัสดุ| ] 91,500 บาท","88,900","03293-1 เงินสมทบเข้ากองทุนเงินทดแทน 88,900 บาท",
51,งานบริหารทั่วไปและบริหารการคลัง,"2. งบดําเนินงาน 1,494,800 บาท","1.3 ค่าตอบแทน ใช้สอยและวัสดุ| ] 91,500 บาท",2.600,03611-1 ค่าเครื่องแต่งกาย 2.600 บาท,
52,งานบริหารทั่วไปและบริหารการคลัง,"2. งบดําเนินงาน 1,175,400 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 1,067,400 บาท","310,900","2.1.1 ค่าตอบแทน 310,900 บาท",
53,งานบริหารทั่วไปและจัดเก็บรายได้,"2. งบดําเนินงาน 1,175,400 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 1,067,400 บาท","223,800","2.1.2 ค่าใช้สอย 223,800 บาท",
54,งานบริหารทั่วไปและจัดเก็บรายได้,"2. งบดําเนินงาน 1,175,400 บาท","1.1 เงินเดือน 3,836,200 บาท","3,579,400","01101-1 อัตราเดิม 13 อัตรา 3,579,400 บาท",
55,งานบริหารทั่วไปและจัดเก็บรายได้,"2. งบดําเนินงาน 1,175,400 บาท","1.1 เงินเดือน 3,836,200 บาท","214,800","01102-1 เงินเลื่อนขั้น 214,800 บาท",
56,งานบริหารทั่วไปและจัดเก็บรายได้,"2. งบดําเนินงาน 1,175,400 บาท","1.1 เงินเดือน 3,836,200 บาท","42,000","01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 42,000 บาท",
57,งานบริหารทั่วไปและจัดเก็บรายได้,"2. งบดําเนินงาน 1,175,400 บาท","1.2 ค่าจ้างประจํา[ ] 515,500 บาท","485,900","01201-1 อัตราเดิม 4 อัตรา 485,900 บาท",
58,งานบริหารทั่วไปและจัดเก็บรายได้,"2. งบดําเนินงาน 1,175,400 บาท","1.2 ค่าจ้างประจํา[ ] 515,500 บาท","29,100","01202-1 เงินเพิ่มค่าจ้างประจํา 29,100 บาท",
59,งานบริหารทั่วไปและจัดเก็บรายได้,"2. งบดําเนินงาน 1,175,400 บาท","1.2 ค่าจ้างประจํา[ ] 515,500 บาท",500,01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 500 บาท,
60,งานบริหารทั่วไปและจัดเก็บรายได้,"2. งบดําเนินงาน 1,175,400 บาท","1.3 ค่าจ้างชั่วคราว[ ] 288,000 บาท","225,600","02101-1 ค่าจ้างชั่วคราว 2 อัตรา 225,600 บาท",
61,งานบริหารทั่วไปและจัดเก็บรายได้,"2. งบดําเนินงาน 1,175,400 บาท","1.3 ค่าจ้างชั่วคราว[ ] 288,000 บาท","14,400","02102-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว 14,400 บาท",
62,งานบริหารทั่วไปและจัดเก็บรายได้,"2. งบดําเนินงาน 1,175,400 บาท","1.3 ค่าจ้างชั่วคราว[ ] 288,000 บาท","48,000","02103-1 เงินช่วยเหลือค่าครองซีพของลูกจ้างชั่วคราว 48,000 บาท",
63,งานบริหารทั่วไปและจัดเก็บรายได้,"2. งบดําเนินงาน 1,175,400 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ| ] 19,600 บาท","5,200","03611-1 ค่าเครื่องแต่งกาย 5,200 บาท",
64,งานบริหารทั่วไปและจัดเก็บรายได้,"2. งบดําเนินงาน 4,353,600 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 1,047,900 บาท","102,000","2.1.1 ค่าตอบแทน 102,000 บาท",
65,งานบริหารทั่วไปและจัดเก็บรายได้,"2. งบดําเนินงาน 4,353,600 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 1,047,900 บาท","15,000","2.1.2 ค่าใช้สอย 204,900 บาท","05199-4 1 เครื่องพิมพ์เลเซอร์ หรือ ! 60 ขาวดํา ชนิด ]ง๕๒๐ฟ< แบบที่ 2 (38 หน้า/นาที) 1 เครื่อง 15,000 บาท"
66,งานบริหารทั่วไปฝ่ายรักษาความสะอาด,"2. งบดําเนินงาน 4,353,600 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 1,047,900 บาท","854,000","2.1.2 ค่าใช้สอย 204,900 บาท","05208-1 2 รถบรรทุก (ดีเซล) ขนาด 1 ต้น ปริมาตรกระบอกสูบ 1 2.400 ซีซี หรือกําลังเครื่องยนต์สูงสุด ไม่ตัํากว่า 110 กิโลวัตต์ ขับเคลื่อน 2 ล้อ แบบดับเจิ้ลแค็บ 1 คัน 854,000 บาท"
67,งานบริหารทั่วไปฝ่ายรักษาความสะอาด,"2. งบดําเนินงาน 4,353,600 บาท","1.1 เงินเดือน 805,880 บาท","750,360","01101-1 อัตราเดิม 3 อัตรา 750,360 บาท",
68,งานบริหารทั่วไปฝ่ายรักษาความสะอาด,"2. งบดําเนินงาน 4,353,600 บาท","1.1 เงินเดือน 805,880 บาท","45,020","01102-1 เงินเลื่อนขั้น 45,020 บาท",
69,งานบริหารทั่วไปฝ่ายรักษาความสะอาด,"2. งบดําเนินงาน 4,353,600 บาท","1.1 เงินเดือน 805,880 บาท","1,760","01108-1 เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ 1,760 บาท",
70,งานบริหารทั่วไปฝ่ายรักษาความสะอาด,"2. งบดําเนินงาน 4,353,600 บาท","1.1 เงินเดือน 805,880 บาท",340,01109-1 เงินช่วยเหลือค่าครองชีพของข้าราชการ 340 บาท,
71,งานบริหารทั่วไปฝ่ายรักษาความสะอาด,"2. งบดําเนินงาน 4,353,600 บาท","1.2 ค่าจ้างประจํา[ ] 16,207,660 บาท","15,157,080","01201-1 อัตราเดิม 70 อัตรา 15,157,080 บาท",
72,งานบริหารทั่วไปฝ่ายรักษาความสะอาด,"2. งบดําเนินงาน 4,353,600 บาท","1.2 ค่าจ้างประจํา[ ] 16,207,660 บาท","622,360","01202-1 เงินเพิ่มค่าจ้างประจํา 622,360 บาท",
73,งานบริหารทั่วไปฝ่ายรักษาความสะอาด,"2. งบดําเนินงาน 4,353,600 บาท","1.2 ค่าจ้างประจํา[ ] 16,207,660 บาท","275,660","01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 275,660 บาท",
74,งานบริหารทั่วไปฝ่ายรักษาความสะอาด,"2. งบดําเนินงาน 4,353,600 บาท","1.2 ค่าจ้างประจํา[ ] 16,207,660 บาท","152,560","01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 152,560 บาท",
75,งานบริหารทั่วไปฝ่ายรักษาความสะอาด,"2. งบดําเนินงาน 4,353,600 บาท","1.3 ค่าจ้างชั่วคราว[ ] 4,809,600 บาท","3,517,040","02101-1 ค่าจ้างชั่วคราว 33 อัตรา 3,517,040 บาท",
76,งานบริหารทั่วไปฝ่ายรักษาความสะอาด,"2. งบดําเนินงาน 4,353,600 บาท","1.3 ค่าจ้างชั่วคราว[ ] 4,809,600 บาท","490,960","02102-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว 490,960 บาท",
77,งานบริหารทั่วไปฝ่ายรักษาความสะอาด,"2. งบดําเนินงาน 4,353,600 บาท","1.3 ค่าจ้างชั่วคราว[ ] 4,809,600 บาท","801,600","02103-1 เงินช่วยเหลือค่าครองซีพของลูกจ้างชั่วคราว 801,600 บาท",
78,งานบริหารทั่วไปฝ่ายรักษาความสะอาด,"2. งบดําเนินงาน 4,353,600 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ| ] 435,368 บาท","3,588","03611-1 ค่าเครื่องแต่งกาย 3,588 บาท",
79,งานบริหารทั่วไปฝ่ายรักษาความสะอาด,"2. งบดําเนินงาน 4,353,600 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ| ] 435,368 บาท","191,300","03128-1 เงินตอบแทนพิเศษของลูกจ้างประจํา 191,300 บาท",
80,งานบริหารทั่วไปฝ่ายรักษาความสะอาด,"2. งบดําเนินงาน 2,676,430 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 2,676,430 บาท","2,676,430",,
81,งานบริหารทั่วไปฝ่ายรักษาความสะอาด,"2. งบดําเนินงาน 2,676,430 บาท","2.1 ค่าตอบแทน 1,325,190 บาท","1,325,190",,
82,งานบริหารทั่วไปฝ่ายรักษาความสะอาด,"2. งบดําเนินงาน 2,676,430 บาท","2.2 ค่าใช้สอย 90,680 บาท","90,680",,
83,งานบริหารทั่วไปฝ่ายรักษาความสะอาด,"2. งบดําเนินงาน 2,676,430 บาท","2.3 ค่าวัสดุ 1,260,560 บาท","1,040,000","6 1,040,000 บาท",
84,งานกวาดทําค วามสะอาดที่และทางสาธารณะ,"3. งบลงทุน 15,000 บาท","05198-4 เครื่องพิมพ์ |นไหนทอน์อท เลเซอร์ หรือ 0 สี 1 เครื่อง 15,000 บาท","15,000",,
85,งานกวาดทําค วามสะอาดที่และทางสาธารณะ,"3. งบลงทุน 15,000 บาท","1.1 เงินเดือน 1,410,290 บาท","1,313,130","01101-1 อัตราเดิม 4 อัตรา 1,313,130 บาท",
86,งานกวาดทําค วามสะอาดที่และทางสาธารณะ,"3. งบลงทุน 15,000 บาท","1.1 เงินเดือน 1,410,290 บาท","78,785","01102-1 เงินเลื่อนขั้น 78,785 บาท",
87,งานกวาดทําค วามสะอาดที่และทางสาธารณะ,"3. งบลงทุน 15,000 บาท","1.1 เงินเดือน 1,410,290 บาท","14,700","01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 14,700 บาท",
88,งานกวาดทําค วามสะอาดที่และทางสาธารณะ,"3. งบลงทุน 15,000 บาท","1.1 เงินเดือน 1,410,290 บาท","3,080","01108-1 เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ 3,080 บาท",
89,งานกวาดทําค วามสะอาดที่และทางสาธารณะ,"3. งบลงทุน 15,000 บาท","1.1 เงินเดือน 1,410,290 บาท",595,01109-1 เงินช่วยเหลือค่าครองชีพของข้าราชการ 595 บาท,
90,งานกวาดทําค วามสะอาดที่และทางสาธารณะ,"3. งบลงทุน 15,000 บาท","1.2 ค่าจ้างประจํา[ ] 28,363,405 บาท","26,524,890","01201-1 อัตราเดิม 122 อัตรา 26,524,890 บาท",
91,งานกวาดทําค วามสะอาดที่และทางสาธารณะ,"3. งบลงทุน 15,000 บาท","1.2 ค่าจ้างประจํา[ ] 28,363,405 บาท","1,089,130","01202-1 เงินเพิ่มค่าจ้างประจํา 1,089,130 บาท",
92,งานกวาดทําค วามสะอาดที่และทางสาธารณะ,"3. งบลงทุน 15,000 บาท","1.2 ค่าจ้างประจํา[ ] 28,363,405 บาท",482405,01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 482405 บาท,
93,งานกวาดทําค วามสะอาดที่และทางสาธารณะ,"3. งบลงทุน 15,000 บาท","1.2 ค่าจ้างประจํา[ ] 28,363,405 บาท","266,980","01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 266,980 บาท",
94,งานกวาดทําค วามสะอาดที่และทางสาธารณะ,"3. งบลงทุน 15,000 บาท","1.3 ค่าจ้างชั่วคราว[ ] 8,4.16,800 บาท","6,154,820","02101-1 ค่าจ้างชั่วคราว 59 อัตรา 6,154,820 บาท",
95,งานกวาดทําค วามสะอาดที่และทางสาธารณะ,"3. งบลงทุน 15,000 บาท","1.3 ค่าจ้างชั่วคราว[ ] 8,4.16,800 บาท","859,180","02102-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว 859,180 บาท",
96,งานกวาดทําค วามสะอาดที่และทางสาธารณะ,"3. งบลงทุน 15,000 บาท","1.3 ค่าจ้างชั่วคราว[ ] 8,4.16,800 บาท","1,402,800","02103-1 เงินช่วยเหลือค่าครองซีพของลูกจ้างชั่วคราว 1,402,800 บาท",
97,งานกวาดทําค วามสะอาดที่และทางสาธารณะ,"3. งบลงทุน 15,000 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ| ] 809,435 บาท","53,820","03611-1 ค่าเครื่องแต่งกาย 53,820 บาท",
98,งานกวาดทําค วามสะอาดที่และทางสาธารณะ,"3. งบลงทุน 15,000 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ| ] 809,435 บาท","334,775","03128-1 เงินตอบแทนพิเศษของลูกจ้างประจํา 334,775 บาท",
99,งานกวาดทําค วามสะอาดที่และทางสาธารณะ,"2. งบดําเนินงาน 5,589,535 บาท","2.1 ค่าตอบแทน 4,638,165 บาท","4,638,165",,
100,งานเก็บขยะมูลฝอยและขนถ่ายสิ่งปฏิกูล,"2. งบดําเนินงาน 5,589,535 บาท","2.2 ค่าวัสดุ 951,370 บาท","951,370",,
101,งานเก็บขยะมูลฝอยและขนถ่ายสิ่งปฏิกูล,"2. งบดําเนินงาน 5,589,535 บาท","1.1 เงินเดือน 1,813,230 บาท","1,688,310","01101-1 อัตราเดิม 6 อัตรา 1,688,310 บาท",
102,งานเก็บขยะมูลฝอยและขนถ่ายสิ่งปฏิกูล,"2. งบดําเนินงาน 5,589,535 บาท","1.1 เงินเดือน 1,813,230 บาท","101,295","01102-1 เงินเลื่อนขั้น 101,295 บาท",
103,งานเก็บขยะมูลฝอยและขนถ่ายสิ่งปฏิกูล,"2. งบดําเนินงาน 5,589,535 บาท","1.1 เงินเดือน 1,813,230 บาท","3,960","01108-1 เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ 3,960 บาท",
104,งานเก็บขยะมูลฝอยและขนถ่ายสิ่งปฏิกูล,"2. งบดําเนินงาน 5,589,535 บาท","1.1 เงินเดือน 1,813,230 บาท",765,01109-1 เงินช่วยเหลือค่าครองชีพของข้าราชการ 765 บาท,
105,งานเก็บขยะมูลฝอยและขนถ่ายสิ่งปฏิกูล,"2. งบดําเนินงาน 5,589,535 บาท","1.2 ค่าจ้างประจํา[ ] 36,467,235 บาท","34,103,430","01201-1 อัตราเดิม 158 อัตรา 34,103,430 บาท",
106,งานเก็บขยะมูลฝอยและขนถ่ายสิ่งปฏิกูล,"2. งบดําเนินงาน 5,589,535 บาท","1.2 ค่าจ้างประจํา[ ] 36,467,235 บาท","1,400,310","01202-1 เงินเพิ่มค่าจ้างประจํา 1,400,310 บาท",
107,งานเก็บขยะมูลฝอยและขนถ่ายสิ่งปฏิกูล,"2. งบดําเนินงาน 5,589,535 บาท","1.2 ค่าจ้างประจํา[ ] 36,467,235 บาท","620,235","01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 620,235 บาท",
108,งานเก็บขยะมูลฝอยและขนถ่ายสิ่งปฏิกูล,"2. งบดําเนินงาน 5,589,535 บาท","1.2 ค่าจ้างประจํา[ ] 36,467,235 บาท",343.260,01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 343.260 บาท,
109,งานเก็บขยะมูลฝอยและขนถ่ายสิ่งปฏิกูล,"2. งบดําเนินงาน 5,589,535 บาท","1.3 ค่าจ้างชั่วคราว[ ] 10,821,600 บาท","7,913,340","02101-1 ค่าจ้างชั่วคราว 75 อัตรา 7,913,340 บาท",
110,งานเก็บขยะมูลฝอยและขนถ่ายสิ่งปฏิกูล,"2. งบดําเนินงาน 5,589,535 บาท","1.3 ค่าจ้างชั่วคราว[ ] 10,821,600 บาท","1,104,660","02102-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว 1,104,660 บาท",
111,งานเก็บขยะมูลฝอยและขนถ่ายสิ่งปฏิกูล,"2. งบดําเนินงาน 5,589,535 บาท","1.3 ค่าจ้างชั่วคราว[ ] 10,821,600 บาท","1,803,600","02103-1 เงินช่วยเหลือค่าครองซีพของลูกจ้างชั่วคราว 1,803,600 บาท",
112,งานเก็บขยะมูลฝอยและขนถ่ายสิ่งปฏิกูล,"2. งบดําเนินงาน 5,589,535 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ| ] 1,093,497 บาท","121,992","03611-1 ค่าเครื่องแต่งกาย 121,992 บาท",
113,งานเก็บขยะมูลฝอยและขนถ่ายสิ่งปฏิกูล,"2. งบดําเนินงาน 5,589,535 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ| ] 1,093,497 บาท","430,425","03128-1 เงินตอบแทนพิเศษของลูกจ้างประจํา 430,425 บาท",
114,งานเก็บขยะมูลฝอยและขนถ่ายสิ่งปฏิกูล,"2. งบดําเนินงาน 21,724,135 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 21,724,135 บาท","21,724,135",,
115,งานเก็บขยะมูลฝอยและขนถ่ายสิ่งปฏิกูล,"2. งบดําเนินงาน 21,724,135 บาท","2.1 ค่าตอบแทน 10,848,345 บาท","10,848,345",,
116,งานเก็บขยะมูลฝอยและขนถ่ายสิ่งปฏิกูล,"2. งบดําเนินงาน 21,724,135 บาท","2.2 ค่าใช้สอย 231,520 บาท","231,520",,
117,งานดูแลสวนและพื้นที่สีเขียว,"2. งบดําเนินงาน 21,724,135 บาท",2.3 ค่าวัสดุ 10644270 บาท,10644270,,
118,งานดูแลสวนและพื้นที่สีเขียว,"2. งบดําเนินงาน 21,724,135 บาท","1.1 เงินเดือน 456,300 บาท","419,800","01101-1 อัตราเดิม 1 อัตรา 419,800 บาท",
