,job,L1,L2,L3,amount
10,งานอํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 11,008,850 บาท","1.3 ค่าจ้างชั่วคราว 1,036,800 บาท","02101-1 ค่าจ้างชั่วคราว 8 อัตรา 758,520 บาท","758,520"
11,งานอํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 11,008,850 บาท","1.3 ค่าจ้างชั่วคราว 1,036,800 บาท","02102-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว 105,480 บาท","105,480"
12,งานอํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 11,008,850 บาท","1.3 ค่าจ้างชั่วคราว 1,036,800 บาท","02103-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างชั่วคราว 172,800 บาท","172,800"
13,งานอํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 11,008,850 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ 116,420 บาท","03122-1 เงินตอบแทนพิเศษของข้าราชการ 15,210 บาท","15,210"
14,งานอํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 11,008,850 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ 116,420 บาท",03128-1 เงินตอบแทนพิเศษของลูกจ้างประจํา 27270 บาท,27270
15,งานอํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 11,008,850 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ 116,420 บาท","03217-1 เงินสมทบกองทุนประกันสังคม 51,840 บาท","51,840"
16,งานอํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 11,008,850 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ 116,420 บาท","03611-1 ค่าเครื่องแต่งกาย 22,100 บาท","22,100"
17,งานอํานวยการและบริหารสํานักงานเขต,"2. งบดําเนินงาน 4,681,170 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 1,647,900 บาท","2.1.1 ค่าตอบแทน 387,400 บาท","387,400"
18,งานอํานวยการและบริหารสํานักงานเขต,"2. งบดําเนินงาน 4,681,170 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 1,647,900 บาท","2.1.2 ค่าใช้สอย 568,200 บาท","568,200"
19,งานอํานวยการและบริหารสํานักงานเขต,"2. งบดําเนินงาน 4,681,170 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 1,647,900 บาท","2.1.3 ค่าวัสดุ 692,300 บาท","692,300"
20,งานปกครอง,"2. งบดําเนินงาน 4,681,170 บาท","2.2 ค่าสาธารณูปโภค 3,033,270 บาท",,"3,033,270"
21,งานปกครอง,"1. งบบุคลากร 1,220,750 บาท","1.1 เงินเดือน 760,290 บาท","01101-1 อัตราเดิม 19 อัตรา 663,140 บาท","663,140"
22,งานปกครอง,"1. งบบุคลากร 1,220,750 บาท","1.1 เงินเดือน 760,290 บาท","01102-1 เงินเลื่อนขั้น 39,800 บาท","39,800"
23,งานปกครอง,"1. งบบุคลากร 1,220,750 บาท","1.1 เงินเดือน 760,290 บาท","01106-1 เงินประจําตําแหน่ง 25,440 บาท","25,440"
24,งานปกครอง,"1. งบบุคลากร 1,220,750 บาท","1.1 เงินเดือน 760,290 บาท","01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 29,640 บาท","29,640"
25,งานปกครอง,"1. งบบุคลากร 1,220,750 บาท","1.1 เงินเดือน 760,290 บาท","01108-1 เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ 1,750 บาท","1,750"
26,งานปกครอง,"1. งบบุคลากร 1,220,750 บาท","1.1 เงินเดือน 760,290 บาท",01109-1 เงินช่วยเหลือค่าครองชีพของข้าราชการ 520 บาท,520
27,งานปกครอง,"1. งบบุคลากร 1,220,750 บาท","1.2 ค่าจ้างประจํา 334,780 บาท","01201-1 อัตราเดิม 18 อัตรา 291,360 บาท","291,360"
28,งานปกครอง,"1. งบบุคลากร 1,220,750 บาท","1.2 ค่าจ้างประจํา 334,780 บาท","01202-1 เงินเพิ่มค่าจ้างประจํา 17,600 บาท","17,600"
29,งานปกครอง,"1. งบบุคลากร 1,220,750 บาท","1.2 ค่าจ้างประจํา 334,780 บาท","01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 17,560 บาท","17,560"
30,งานปกครอง,"1. งบบุคลากร 1,220,750 บาท","1.2 ค่าจ้างประจํา 334,780 บาท","01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 8,260 บาท","8,260"
31,งานปกครอง,"1. งบบุคลากร 1,220,750 บาท","1.3 ค่าจ้างชั่วคราว 115,200 บาท",02101-1 ค่าจ้างชั่วคราว 8 อัตรา 84280 บาท,84280
32,งานปกครอง,"1. งบบุคลากร 1,220,750 บาท","1.3 ค่าจ้างชั่วคราว 115,200 บาท","02102-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว 11,720 บาท","11,720"
33,งานปกครอง,"1. งบบุคลากร 1,220,750 บาท","1.3 ค่าจ้างชั่วคราว 115,200 บาท","02103-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างชั่วคราว 19,200 บาท","19,200"
34,งานปกครอง,"1. งบบุคลากร 1,220,750 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ 10,480 บาท","03122-1 เงินตอบแทนพิเศษของข้าราชการ 1,690 บาท","1,690"
35,งานปกครอง,"1. งบบุคลากร 1,220,750 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ 10,480 บาท","03128-1 เงินตอบแทนพิเศษของลูกจ้างประจํา 3,030 บาท","3,030"
36,งานปกครอง,"1. งบบุคลากร 1,220,750 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ 10,480 บาท","03217-1 เงินสมทบกองทุนประกันสังคม 5,760 บาท","5,760"
37,งานปกครอง,"2. งบดําเนินงาน 337,030 บาท",,,"337,030"
38,งานบริหารทั่วไปและบริการทะเบียน,"3. งบรายจ่ายอื่น 352,000 บาท","07110-1 ค่าใช้จ่ายเกี่ยวกับการสนับสนุนกิจการอาสาสมัครป้องกันภัยฝ่ายพลเรือน 352,000 บาท",,"352,000"
39,งานบริหารทั่วไปและบริการทะเบียน,"1. งบบุคลากร 7,319,500 บาท","1.1 เงินเดือน 7,156,300 บาท","01101-1 อัตราเดิม 20 อัตรา 6,690,000 บาท","6,690,000"
40,งานบริหารทั่วไปและบริการทะเบียน,"1. งบบุคลากร 7,319,500 บาท","1.1 เงินเดือน 7,156,300 บาท","01102-1 เงินเลื่อนขั้น 401,600 บาท","401,600"
41,งานบริหารทั่วไปและบริการทะเบียน,"1. งบบุคลากร 7,319,500 บาท","1.1 เงินเดือน 7,156,300 บาท","01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 42,000 บาท","42,000"
42,งานบริหารทั่วไปและบริการทะเบียน,"1. งบบุคลากร 7,319,500 บาท","1.1 เงินเดือน 7,156,300 บาท","01108-1 เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ 17,500 บาท","17,500"
43,งานบริหารทั่วไปและบริการทะเบียน,"1. งบบุคลากร 7,319,500 บาท","1.1 เงินเดือน 7,156,300 บาท","01109-1 เงินช่วยเหลือค่าครองชีพของข้าราชการ 5,200 บาท","5,200"
44,งานบริหารทั่วไปและบริการทะเบียน,"1. งบบุคลากร 7,319,500 บาท","1.2 ค่าจ้างประจํา 162,000 บาท","01201-1 อัตราเดิม 1 อัตรา 152,400 บาท","152,400"
45,งานบริหารทั่วไปและบริการทะเบียน,"1. งบบุคลากร 7,319,500 บาท","1.2 ค่าจ้างประจํา 162,000 บาท","01202-1 เงินเพิ่มค่าจ้างประจํา 9,200 บาท","9,200"
46,งานบริหารทั่วไปและบริการทะเบียน,"1. งบบุคลากร 7,319,500 บาท","1.2 ค่าจ้างประจํา 162,000 บาท",01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 400 บาท,400
47,งานบริหารทั่วไปและบริการทะเบียน,"1. งบบุคลากร 7,319,500 บาท","1.3 ค่าตอบแทน ใช้สอยและวัสดุ 1,200 บาท","03611-1 ค่าเครื่องแต่งกาย 1,200 บาท","1,200"
48,งานบริหารทั่วไปและบริการทะเบียน,"2. งบดําเนินงาน 1,601,700 บาท","2.1 ค่าตอบแทน 400,500 บาท",,"400,500"
49,งานบริหารทั่วไปและบริการทะเบียน,"2. งบดําเนินงาน 1,601,700 บาท","2.2 ค่าใช้สอย 366,600 บาท",,"366,600"
50,งานบริหารทั่วไปและบริหารการคลัง,"2. งบดําเนินงาน 1,601,700 บาท","2.3 ค่าวัสดุ 834,600 บาท",,"834,600"
51,งานบริหารทั่วไปและบริหารการคลัง,"1. งบบุคลากร 4,619,900 บาท","1.1 เงินเดือน 4,369,300 บาท","01101-1 อัตราเดิม 14 อัตรา 4,049,500 บาท","4,049,500"
52,งานบริหารทั่วไปและบริหารการคลัง,"1. งบบุคลากร 4,619,900 บาท","1.1 เงินเดือน 4,369,300 บาท","01102-1 เงินเลื่อนขั้น 243,100 บาท","243,100"
53,งานบริหารทั่วไปและบริหารการคลัง,"1. งบบุคลากร 4,619,900 บาท","1.1 เงินเดือน 4,369,300 บาท","01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 42,000 บาท","42,000"
54,งานบริหารทั่วไปและบริหารการคลัง,"1. งบบุคลากร 4,619,900 บาท","1.1 เงินเดือน 4,369,300 บาท","01108-1 เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ 26,900 บาท","26,900"
55,งานบริหารทั่วไปและบริหารการคลัง,"1. งบบุคลากร 4,619,900 บาท","1.1 เงินเดือน 4,369,300 บาท","01109-1 เงินช่วยเหลือค่าครองชีพของข้าราชการ 7,800 บาท","7,800"
56,งานบริหารทั่วไปและบริหารการคลัง,"1. งบบุคลากร 4,619,900 บาท","1.2 ค่าจ้างประจํา 162,000 บาท","01201-1 อัตราเดิม 1 อัตรา 118,000 บาท","118,000"
57,งานบริหารทั่วไปและบริหารการคลัง,"1. งบบุคลากร 4,619,900 บาท","1.2 ค่าจ้างประจํา 162,000 บาท","01202-1 เงินเพิ่มค่าจ้างประจํา 7,000 บาท","7,000"
58,งานบริหารทั่วไปและบริหารการคลัง,"1. งบบุคลากร 4,619,900 บาท","1.2 ค่าจ้างประจํา 162,000 บาท","01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 24,000 บาท","24,000"
59,งานบริหารทั่วไปและบริหารการคลัง,"1. งบบุคลากร 4,619,900 บาท","1.2 ค่าจ้างประจํา 162,000 บาท","01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 13,000 บาท","13,000"
60,งานบริหารทั่วไปและบริหารการคลัง,"1. งบบุคลากร 4,619,900 บาท","1.3 ค่าตอบแทน ใช้สอยและวัสดุ 88,600 บาท",03293-1 เงินสมทบเข้ากองทุนเงินทดแทน 87300 บาท,87300
61,งานบริหารทั่วไปและบริหารการคลัง,"1. งบบุคลากร 4,619,900 บาท","1.3 ค่าตอบแทน ใช้สอยและวัสดุ 88,600 บาท","03611-1 ค่าเครื่องแต่งกาย 1,300 บาท","1,300"
62,งานบริหารทั่วไปและบริหารการคลัง,"2. งบดําเนินงาน 773,900 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 593,900 บาท","2.1.1 ค่าตอบแทน 280,900 บาท","280,900"
63,งานบริหารทั่วไปและบริหารการคลัง,"2. งบดําเนินงาน 773,900 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 593,900 บาท","2.1.2 ค่าใช้สอย 38,900 บาท","38,900"
64,งานบริหารทั่วไปและบริหารการคลัง,"2. งบดําเนินงาน 773,900 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 593,900 บาท","2.1.3 ค่าวัสดุ 274,100 บาท","274,100"
65,งานบริหารทั่วไปและจัดเก็บรายได้,"2. งบดําเนินงาน 773,900 บาท","2.2 ค่าสาธารณูปโภค 180,000 บาท",,"180,000"
66,งานบริหารทั่วไปและจัดเก็บรายได้,"1. งบบุคลากร 4,980,000 บาท","1.1 เงินเดือน 4,533,700 บาท","01101-1 อัตราเดิม 13 อัตรา 4,215,900 บาท","4,215,900"
67,งานบริหารทั่วไปและจัดเก็บรายได้,"1. งบบุคลากร 4,980,000 บาท","1.1 เงินเดือน 4,533,700 บาท","01102-1 เงินเลื่อนขั้น 253,100 บาท","253,100"
68,งานบริหารทั่วไปและจัดเก็บรายได้,"1. งบบุคลากร 4,980,000 บาท","1.1 เงินเดือน 4,533,700 บาท","01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 42,000 บาท","42,000"
69,งานบริหารทั่วไปและจัดเก็บรายได้,"1. งบบุคลากร 4,980,000 บาท","1.1 เงินเดือน 4,533,700 บาท","01108-1 เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ 17,500 บาท","17,500"
70,งานบริหารทั่วไปและจัดเก็บรายได้,"1. งบบุคลากร 4,980,000 บาท","1.1 เงินเดือน 4,533,700 บาท","01109-1 เงินช่วยเหลือค่าครองชีพของข้าราชการ 5,200 บาท","5,200"
71,งานบริหารทั่วไปและจัดเก็บรายได้,"1. งบบุคลากร 4,980,000 บาท","1.2 ค่าจ้างประจํา 437,400 บาท","01201-1 อัตราเดิม 2 อัตรา 393,900 บาท","393,900"
72,งานบริหารทั่วไปและจัดเก็บรายได้,"1. งบบุคลากร 4,980,000 บาท","1.2 ค่าจ้างประจํา 437,400 บาท","01202-1 เงินเพิ่มค่าจ้างประจํา 23,600 บาท","23,600"
73,งานบริหารทั่วไปและจัดเก็บรายได้,"1. งบบุคลากร 4,980,000 บาท","1.2 ค่าจ้างประจํา 437,400 บาท",01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 17300 บาท,17300
74,งานบริหารทั่วไปและจัดเก็บรายได้,"1. งบบุคลากร 4,980,000 บาท","1.2 ค่าจ้างประจํา 437,400 บาท","01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 2,600 บาท","2,600"
75,งานบริหารทั่วไปและจัดเก็บรายได้,"1. งบบุคลากร 4,980,000 บาท","1.3 ค่าตอบแทน ใช้สอยและวัสดุ 8,900 บาท","03122-1 เงินตอบแทนพิเศษของข้าราชการ 6,500 บาท","6,500"
76,งานบริหารทั่วไปและจัดเก็บรายได้,"1. งบบุคลากร 4,980,000 บาท","1.3 ค่าตอบแทน ใช้สอยและวัสดุ 8,900 บาท","03611-1 ค่าเครื่องแต่งกาย 2,400 บาท","2,400"
77,งานบริหารทั่วไปและจัดเก็บรายได้,"2. งบดําเนินงาน 1,228,400 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 624,800 บาท","2.1.1 ค่าตอบแทน 90,000 บาท","90,000"
78,งานบริหารทั่วไปและจัดเก็บรายได้,"2. งบดําเนินงาน 1,228,400 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 624,800 บาท","2.1.2 ค่าใช้สอย 194,600 บาท","194,600"
79,งานบริหารทั่วไปและจัดเก็บรายได้,"2. งบดําเนินงาน 1,228,400 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 624,800 บาท","2.1.3 ค่าวัสดุ 340,200 บาท","340,200"
80,งานบริหารทั่วไปฝ่ายรักษาความสะอ าด,"2. งบดําเนินงาน 1,228,400 บาท","2.2 ค่าสาธารณูปโภค 603,600 บาท",,"603,600"
81,งานบริหารทั่วไปฝ่ายรักษาความสะอ าด,"1. งบบุคลากร 10,972,690 บาท","1.1 เงินเดือน 524,730 บาท","01101-1 อัตราเดิม 13 อัตรา 491,060 บาท","491,060"
82,งานบริหารทั่วไปฝ่ายรักษาความสะอ าด,"1. งบบุคลากร 10,972,690 บาท","1.1 เงินเดือน 524,730 บาท","01102-1 เงินเลื่อนขั้น 29,470 บาท","29,470"
83,งานบริหารทั่วไปฝ่ายรักษาความสะอ าด,"1. งบบุคลากร 10,972,690 บาท","1.1 เงินเดือน 524,730 บาท","01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 4,200 บาท","4,200"
84,งานบริหารทั่วไปฝ่ายรักษาความสะอ าด,"1. งบบุคลากร 10,972,690 บาท","1.2 ค่าจ้างประจํา 7,296,200 บาท","01201-1 อัตราเดิม 327 อัตรา 6,726,770 บาท","6,726,770"
85,งานบริหารทั่วไปฝ่ายรักษาความสะอ าด,"1. งบบุคลากร 10,972,690 บาท","1.2 ค่าจ้างประจํา 7,296,200 บาท","01202-1 เงินเพิ่มค่าจ้างประจํา 403,820 บาท","403,820"
86,งานบริหารทั่วไปฝ่ายรักษาความสะอ าด,"1. งบบุคลากร 10,972,690 บาท","1.2 ค่าจ้างประจํา 7,296,200 บาท","01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 102,660 บาท","102,660"
87,งานบริหารทั่วไปฝ่ายรักษาความสะอ าด,"1. งบบุคลากร 10,972,690 บาท","1.2 ค่าจ้างประจํา 7,296,200 บาท",01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 62950 บาท,62950
88,งานบริหารทั่วไปฝ่ายรักษาความสะอ าด,"1. งบบุคลากร 10,972,690 บาท","1.3 ค่าจ้างชั่วคราว 2,793,600 บาท","02101-1 ค่าจ้างชั่วคราว 186 อัตรา 2037,520 บาท","2037,520"
89,งานบริหารทั่วไปฝ่ายรักษาความสะอ าด,"1. งบบุคลากร 10,972,690 บาท","1.3 ค่าจ้างชั่วคราว 2,793,600 บาท","02102-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว 290,480 บาท","290,480"
90,งานบริหารทั่วไปฝ่ายรักษาความสะอ าด,"1. งบบุคลากร 10,972,690 บาท","1.3 ค่าจ้างชั่วคราว 2,793,600 บาท","02103-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างชั่วคราว 465,600 บาท","465,600"
91,งานบริหารทั่วไปฝ่ายรักษาความสะอ าด,"1. งบบุคลากร 10,972,690 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ 358,160 บาท","03122-1 เงินตอบแทนพิเศษของข้าราชการ 1,410 บาท","1,410"
92,งานบริหารทั่วไปฝ่ายรักษาความสะอ าด,"1. งบบุคลากร 10,972,690 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ 358,160 บาท","03128-1 เงินตอบแทนพิเศษของลูกจ้างประจํา 87,070 บาท","87,070"
93,งานบริหารทั่วไปฝ่ายรักษาความสะอ าด,"1. งบบุคลากร 10,972,690 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ 358,160 บาท","03217-1 เงินสมทบกองทุนประกันสังคม 139,680 บาท","139,680"
94,งานบริหารทั่วไปฝ่ายรักษาความสะอ าด,"1. งบบุคลากร 10,972,690 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ 358,160 บาท","03611-1 ค่าเครื่องแต่งกาย 130,000 บาท","130,000"
95,งานบริหารทั่วไปฝ่ายรักษาความสะอ าด,"2. งบดําเนินงาน 28,269,000 บาท","2.1 ค่าตอบแทน 11,337,200 บาท",,"11,337,200"
96,งานบริหารทั่วไปฝ่ายรักษาความสะอ าด,"2. งบดําเนินงาน 28,269,000 บาท","2.2 ค่าใช้สอย 810,700 บาท",,"810,700"
97,งานบริหารทั่วไปฝ่ายรักษาความสะอ าด,"2. งบดําเนินงาน 28,269,000 บาท","2.3 ค่าวัสดุ 16,121,100 บาท",,"16,121,100"
98,งานกวาดทําความสะอ าดที่ และทางสาธารณะ,"3. งบลงทุน 5,900 บาท","05108-1 ตู้เหล็ก แบบ 2 บาน 1 ตู้ 5,900 บาท",,"5,900"
99,งานกวาดทําความสะอ าดที่ และทางสาธารณะ,"1. งบบุคลากร 43,370,760 บาท","1.1 เงินเดือน 2,098,920 บาท","01101-1 อัตราเดิม 13 อัตรา 1,964,240 บาท","1,964,240"
100,งานกวาดทําความสะอ าดที่ และทางสาธารณะ,"1. งบบุคลากร 43,370,760 บาท","1.1 เงินเดือน 2,098,920 บาท","01102-1 เงินเลื่อนขั้น 117,880 บาท","117,880"
101,งานกวาดทําความสะอ าดที่ และทางสาธารณะ,"1. งบบุคลากร 43,370,760 บาท","1.1 เงินเดือน 2,098,920 บาท","01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 16,800 บาท","16,800"
102,งานกวาดทําความสะอ าดที่ และทางสาธารณะ,"1. งบบุคลากร 43,370,760 บาท","1.2 ค่าจ้างประจํา 29,184,800 บาท","01201-1 อัตราเดิม 327 อัตรา 26,907,080 บาท","26,907,080"
103,งานกวาดทําความสะอ าดที่ และทางสาธารณะ,"1. งบบุคลากร 43,370,760 บาท","1.2 ค่าจ้างประจํา 29,184,800 บาท","01202-1 เงินเพิ่มค่าจ้างประจํา 1,615,280 บาท","1,615,280"
104,งานกวาดทําความสะอ าดที่ และทางสาธารณะ,"1. งบบุคลากร 43,370,760 บาท","1.2 ค่าจ้างประจํา 29,184,800 บาท","01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 410,640 บาท","410,640"
105,งานกวาดทําความสะอ าดที่ และทางสาธารณะ,"1. งบบุคลากร 43,370,760 บาท","1.2 ค่าจ้างประจํา 29,184,800 บาท","01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 251,800 บาท","251,800"
106,งานกวาดทําความสะอ าดที่ และทางสาธารณะ,"1. งบบุคลากร 43,370,760 บาท","1.3 ค่าจ้างชั่วคราว 11,174,400 บาท","02101-1 ค่าจ้างชั่วคราว 186 อัตรา 8,150,080 บาท","8,150,080"
107,งานกวาดทําความสะอ าดที่ และทางสาธารณะ,"1. งบบุคลากร 43,370,760 บาท","1.3 ค่าจ้างชั่วคราว 11,174,400 บาท","02102-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว 1,161,920 บาท","1,161,920"
108,งานกวาดทําความสะอ าดที่ และทางสาธารณะ,"1. งบบุคลากร 43,370,760 บาท","1.3 ค่าจ้างชั่วคราว 11,174,400 บาท","02103-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างชั่วคราว 1,862,400 บาท","1,862,400"
109,งานกวาดทําความสะอ าดที่ และทางสาธารณะ,"1. งบบุคลากร 43,370,760 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ 912,640 บาท","03122-1 เงินตอบแทนพิเศษของข้าราชการ 5,640 บาท","5,640"
110,งานกวาดทําความสะอ าดที่ และทางสาธารณะ,"1. งบบุคลากร 43,370,760 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ 912,640 บาท","03128-1 เงินตอบแทนพิเศษของลูกจ้างประจํา 348,280 บาท","348,280"
111,งานกวาดทําความสะอ าดที่ และทางสาธารณะ,"1. งบบุคลากร 43,370,760 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ 912,640 บาท","03217-1 เงินสมทบกองทุนประกันสังคม 558,720 บาท","558,720"
112,งานเก็บขยะมูลฝอยและขนถ่ายสิ่งปฏิกูล,"2. งบดําเนินงาน 489,500 บาท",,,"489,500"
113,งานเก็บขยะมูลฝอยและขนถ่ายสิ่งปฏิกูล,"1. งบบุคลากร 54,213,450 บาท","1.1 เงินเดือน 2,623,650 บาท","01101-1 อัตราเดิม 13 อัตรา 2,455,300 บาท","2,455,300"
114,งานเก็บขยะมูลฝอยและขนถ่ายสิ่งปฏิกูล,"1. งบบุคลากร 54,213,450 บาท","1.1 เงินเดือน 2,623,650 บาท","01102-1 เงินเลื่อนขั้น 147,350 บาท","147,350"
115,งานเก็บขยะมูลฝอยและขนถ่ายสิ่งปฏิกูล,"1. งบบุคลากร 54,213,450 บาท","1.1 เงินเดือน 2,623,650 บาท","01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 21,000 บาท","21,000"
116,งานเก็บขยะมูลฝอยและขนถ่ายสิ่งปฏิกูล,"1. งบบุคลากร 54,213,450 บาท","1.2 ค่าจ้างประจํา 36,481,000 บาท","01201-1 อัตราเดิม 327 อัตรา 33,633,850 บาท","33,633,850"
117,งานเก็บขยะมูลฝอยและขนถ่ายสิ่งปฏิกูล,"1. งบบุคลากร 54,213,450 บาท","1.2 ค่าจ้างประจํา 36,481,000 บาท","01202-1 เงินเพิ่มค่าจ้างประจํา 2019,100 บาท","2019,100"
118,งานเก็บขยะมูลฝอยและขนถ่ายสิ่งปฏิกูล,"1. งบบุคลากร 54,213,450 บาท","1.2 ค่าจ้างประจํา 36,481,000 บาท","01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 513,300 บาท","513,300"
119,งานเก็บขยะมูลฝอยและขนถ่ายสิ่งปฏิกูล,"1. งบบุคลากร 54,213,450 บาท","1.2 ค่าจ้างประจํา 36,481,000 บาท","01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 314,750 บาท","314,750"
120,งานเก็บขยะมูลฝอยและขนถ่ายสิ่งปฏิกูล,"1. งบบุคลากร 54,213,450 บาท","1.3 ค่าจ้างชั่วคราว 13,968,000 บาท","02101-1 ค่าจ้างชั่วคราว 186 อัตรา 10,187,600 บาท","10,187,600"
121,งานเก็บขยะมูลฝอยและขนถ่ายสิ่งปฏิกูล,"1. งบบุคลากร 54,213,450 บาท","1.3 ค่าจ้างชั่วคราว 13,968,000 บาท","02102-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว 1,452,400 บาท","1,452,400"
