text	x	y	width	height	line_num	filename	page
- เครื่องเล่นสนาม จํานวน 1 ชุด	406	1823	301	45	0	65075.pdf	60
สามัญรุ่นใหญ่ และหัวหน้าหน่วยยุวกาชาด	405	1881	395	40	0	65075.pdf	61
113,000	1265	1887	92	29	0	65075.pdf	61
บาท	1401	1890	51	22	0	65075.pdf	61
07199-1	240	823	95	26	0	65075.pdf	62
(8) ค่าใช้จ่ายโครงการเกษตรปลอดสารพิษ	375	817	396	33	0	65075.pdf	62
15000	1278	823	79	29	0	65075.pdf	62
บาท	1401	826	51	22	0	65075.pdf	62
ค่าวัสดุสํานักงาน	180	1882	166	39	1	65075.pdf	27
ค่าวัสดุไฟฟ้า ประปา งานบ้าน	349	1881	285	40	1	65075.pdf	27
- พัดลมแบบติดผนั้ง ขนาด	375	1670	253	30	1	65075.pdf	28
16 นิ้ว พร้อมติดตั้ง 2 เครื่อง	629	1662	268	38	1	65075.pdf	28
ค่าวัสดุสํานักงาน ค่าวัสดุไฟฟ้า ประปา งานบ้าน	180	1881	447	40	1	65075.pdf	29
07110-1	240	610	95	25	1	65075.pdf	30
(2) ค่าใช้จ่ายเกี่ยวกับการสนับสนุนกิจการอาสาสมัคร	375	599	493	45	1	65075.pdf	30
ส่วนใหญ่เป็นค่าวัสดุสํานักงาน ค่าวัสดุยานพาหนะ	188	1508	465	41	1	65075.pdf	31
2.2 ค่าสาธารณูปโภค	121	1667	239	46	1	65075.pdf	32
166,000	1093	1678	95	28	1	65075.pdf	32
บาท	1253	1676	55	24	1	65075.pdf	32
05198-1	240	451	95	26	1	65075.pdf	33
เครื่องพิมพ์ชนิด Dot Matrix Printer แบบแคร่สั้น	376	438	468	38	1	65075.pdf	33
2.2 ค่าสาธารณูปโภค	121	1667	239	46	1	65075.pdf	34
2,014,000	1072	1677	116	29	1	65075.pdf	34
บาท	1253	1676	55	24	1	65075.pdf	34
2.2 ค่าสาธารณูปโภค	121	1880	239	46	1	65075.pdf	35
8,020	1118	1891	70	28	1	65075.pdf	35
บาท	1253	1889	55	24	1	65075.pdf	35
2.2 ค่าสาธารณูปโภค	121	1880	239	46	1	65075.pdf	36
12,030	1106	1891	82	28	1	65075.pdf	36
บาท	1253	1889	55	24	1	65075.pdf	36
ส่วนใหญ่เป็นค่าวัสดุน้ำมันเชื่อเพลิงและน้ำมันหล่อลืน	180	1874	500	47	1	65075.pdf	37
2.2 ค่าสาธารณูปโภค	121	284	239	46	1	65075.pdf	38
20,050	1104	295	84	28	1	65075.pdf	38
บาท	1253	293	55	24	1	65075.pdf	38
ค่าวัสดุอุปกรณ์ในการปลูกและบํารุงรักษาต้นไม้	180	1880	444	41	1	65075.pdf	39
3. งบรายจ่ายอยิน	121	449	172	37	1	65075.pdf	40
800,000	1091	460	97	28	1	65075.pdf	40
บาท	1253	453	55	24	1	65075.pdf	40
ส่วนใหญ่เป็นค่าวัสดุน้ำมันเชื่อเพลิงและน้ำมันหล่อลื่น	180	1768	500	47	1	65075.pdf	41
ส่วนใหญ่เป็นค่าวัสดุน้ำมันเชื่อเพลิงและน้ำมันหล่อลื่น	180	1768	500	47	1	65075.pdf	42
ส่วนใหญ่เป็นค่าวัสดุน้ำมันเชื่อเพลิงและน้ำมันหล่อลื่น	180	1768	500	47	1	65075.pdf	43
อาวุโส,ชํานาญการ 10 ตัว	405	711	248	40	1	65075.pdf	44
28,000	1276	726	81	29	1	65075.pdf	44
บาท	1401	729	51	22	1	65075.pdf	44
ส่วนใหญ่เป็นค่าวัสดุน้ำมันเชื่อเพลิงและน้ำมันหล่อลื่น	180	1768	500	47	1	65075.pdf	45
ส่วนใหญ่เป็นค่าวัสดุสําหรับหน่วยบริการเร่งด่วนกรุงเทพมหานคร (Best)	180	1827	673	41	1	65075.pdf	46
และสิงสาธารณประโยชน์เพื่อแก้ไขปัญหาความเดือดร้อน	376	1025	526	42	1	65075.pdf	47
ส่วนใหญ่เป็นค่าวัสดุน้ำมันเชื่อเพลิงและน้ำมันหล่อลืน	180	1715	500	47	1	65075.pdf	48
05199-3	240	451	97	26	1	65075.pdf	49
(1) เครื่องตบดิน 2 เครื่อง	375	440	244	38	1	65075.pdf	49
42,000	1276	451	81	29	1	65075.pdf	49
บาท	1401	454	51	22	1	65075.pdf	49
ส่วนใหญ่เป็นค่าวัสดุน้ำมันเชื่อเพลิงและน้ำมันหล่อลื่น	180	1821	500	47	1	65075.pdf	50
05199-4	240	823	97	26	1	65075.pdf	51
(3) เครื่องพิมพ์เลเซอร์ หรือ LED ขาวดํา ชนิด Network	375	812	526	38	1	65075.pdf	51
ส่วนใหญ่เป็นค่าวัสดุน้ำมันเชื่อเพลิงและน้ำมันหล่อลืน	180	1874	500	47	1	65075.pdf	52
07199-10	240	1302	110	26	1	65075.pdf	53
(10) ค่าใช้จ่ายในการจัดงานวันสําคัญ อนุรักษ์สืบสาน	375	1295	494	41	1	65075.pdf	53
ส่วนใหญ่เป็นค่าวัสดุน้ำมันเชื่อเพลิงและน้ำมันหล่อลื่น	195	1449	500	47	1	65075.pdf	54
ค่าจัดซื้อตัวอย่างผักสดและผลไม้	195	1449	310	38	1	65075.pdf	55
ค่าครุภัณฑ์	152	1832	116	41	1	65075.pdf	56
255,000	1091	1838	97	28	1	65075.pdf	56
บาท	1253	1836	55	24	1	65075.pdf	56
ส่วนใหญ่เป็นค่าวัสดุน้ำมันเชื่อเพลิงและน่ามันหล่อลื่น	188	1821	500	47	1	65075.pdf	57
05203-1	240	663	95	26	1	65075.pdf	58
(2) เครื่องถ่ายเอกสาร ระบบดิจิตอล (ขาว-ดํา) ความเร็ว	375	653	519	38	1	65075.pdf	58
ค่าจ้างเหมาบริษัทเอกชนทําความสะอาดในโรงเรียนฯ	188	1775	493	31	1	65075.pdf	59
ค่าครุภัณฑ์	405	1774	112	41	1	65075.pdf	60
07103-2	240	1834	97	26	1	65075.pdf	61
(2) ค่าใช้จ่ายในการฝึกอบรมนายหมู่ลูกเสือสามัญ	375	1828	458	40	1	65075.pdf	61
สร้างสรรค์ผลงานเพื่อการเรียนรู้	405	759	303	45	1	65075.pdf	62
117900	1265	770	92	29	1	65075.pdf	62
บาท	1401	773	51	22	1	65075.pdf	62
ส่วนใหญ่เป็นค่าวัสดุน้ำมันเชื่อเพลิงและน้ำมันหล่อลื่น	180	1821	500	47	2	65075.pdf	27
แบบตังพื้นหรือแบบแขวน ขนาด	391	1608	305	38	2	65075.pdf	28
13,000 ปีทียู 4 เครื่อง	697	1610	215	45	2	65075.pdf	28
ส่วนใหญ่เป็นค่าวัสดุน้ำมันเชื่อเพลิงและน้ำมันหล่อลื่น	180	1821	500	47	2	65075.pdf	29
ฝ่ายพลเรือน (หลักสูตรหลัก)	406	551	271	40	2	65075.pdf	30
64,100	1276	557	81	29	2	65075.pdf	30
บาท	1401	560	51	22	2	65075.pdf	30
2.3 ค่าวัสดุ	152	1461	119	40	2	65075.pdf	31
239,600	1091	1465	97	28	2	65075.pdf	31
บาท	1253	1463	55	24	2	65075.pdf	31
ค่าวัสดุน้ำมันเชือเพลิงและน้ำมันหล่อสิน ฯลฯ	180	1608	428	47	2	65075.pdf	32
05198-1	144	395	116	41	2	65075.pdf	33
22,000	1104	401	84	28	2	65075.pdf	33
บาท	1253	399	55	24	2	65075.pdf	33
ค่าวัสดุสํานักงาน ค่าวัสดุยานพาหนะ ฯลฯ	180	1616	395	39	2	65075.pdf	34
ค่าวัสดุสํานักงาน ค่าวัสดุยานพาหนะ ฯลฯ	180	1829	395	39	2	65075.pdf	35
ค่าเครื่องแบบชุดปฏิบัติงาน ค่าวัสดุป้องกันอุบัติภัย ฯลฯง	180	1823	518	45	2	65075.pdf	36
2.1.3 ค่าวัสดุ	121	1833	138	40	2	65075.pdf	37
5,731,020	1072	1838	116	28	2	65075.pdf	37
บาท	1253	1836	55	24	2	65075.pdf	37
457	761	116	49	25	2	65075.pdf	38
ส่วนใหญ่เป็นค่าวัสดุน้ำมันเชื่อเพลิงและน้ำมันหล่อลื่น	180	1821	500	47	2	65075.pdf	39
ค่าไฟฟ้า ค่าน้้าประปา	165	331	211	38	2	65075.pdf	40
2.3 ค่าวัสดุ	144	1727	119	40	2	65075.pdf	41
142,920	1093	1730	95	29	2	65075.pdf	41
บาท	1253	1730	55	24	2	65075.pdf	41
2.3 ค่าวัสดุ	144	1727	119	40	2	65075.pdf	42
214,380	1091	1730	97	29	2	65075.pdf	42
บาท	1253	1730	55	24	2	65075.pdf	42
2.3 ค่าวัสดุ	152	1727	119	40	2	65075.pdf	43
59,260	1104	1731	84	28	2	65075.pdf	43
บาท	1253	1730	55	24	2	65075.pdf	43
05148-4	240	663	97	25	2	65075.pdf	44
(2) เก้าอิทํางานระดับปฏิบัติงาน,ปฏิบัติการ,ชํานาญงาน,	375	651	521	46	2	65075.pdf	44
2.3 ค่าวัสดุ	152	1727	119	40	2	65075.pdf	45
148,150	1093	1730	95	29	2	65075.pdf	45
บาท	1253	1730	55	24	2	65075.pdf	45
2.3 ค่าวัสดุ	152	1780	119	40	2	65075.pdf	46
1,338,890	1074	1785	114	28	2	65075.pdf	46
บาท	1253	1783	55	24	2	65075.pdf	46
07123-1	240	983	95	26	2	65075.pdf	47
ค่าใช้จ่ายในการซ่อมแซมปบํารุงรักษาถนน ตรอก ซอย	375	977	487	40	2	65075.pdf	47
2.3 ค่าวัสดุ	152	1673	119	40	2	65075.pdf	48
605,700	1091	1678	97	28	2	65075.pdf	48
บาท	1253	1676	55	24	2	65075.pdf	48
ค่าครุภัณฑ์	152	395	116	41	2	65075.pdf	49
182,000	1093	401	95	28	2	65075.pdf	49
บาท	1253	399	55	24	2	65075.pdf	49
2.1.3 ค่าวัสดุ	121	1780	138	40	2	65075.pdf	50
125,120	1093	1785	95	28	2	65075.pdf	50
บาท	1253	1783	55	24	2	65075.pdf	50
ไม่น้อยกว่า 20 แผ่น 1 เครื่อง	402	759	283	36	2	65075.pdf	51
13,500	1278	779	79	29	2	65075.pdf	51
บาท	1401	782	51	22	2	65075.pdf	51
2.1.3 ค่าวัสดุ	121	1833	138	40	2	65075.pdf	52
232,180	1091	1838	97	28	2	65075.pdf	52
บาท	1253	1836	55	24	2	65075.pdf	52
ถ่ายทอดเทคโนโลยีการเกษตร	405	1243	284	31	2	65075.pdf	53
115,100	1265	1258	92	29	2	65075.pdf	53
บาท	1401	1261	51	22	2	65075.pdf	53
2.2 ค่าวัสดุ	152	1407	119	40	2	65075.pdf	54
93,630	1104	1412	84	28	2	65075.pdf	54
บาท	1253	1410	55	24	2	65075.pdf	54
ส่วนใหญ่เป็นค่าวัสดุน้ำมันเชื่อเพลิงและน้ำมันหล่อลื่น	195	1396	500	47	2	65075.pdf	55
ค่าครุภัณฑ์ ที่ดินและสิงก่อสร้าง	152	1775	311	45	2	65075.pdf	56
255,000	1091	1785	97	28	2	65075.pdf	56
บาท	1253	1783	55	24	2	65075.pdf	56
2.1.3 ค่าวัสดุ	121	1780	138	40	2	65075.pdf	57
216,200	1091	1785	97	28	2	65075.pdf	57
บาท	1253	1783	55	24	2	65075.pdf	57
แบบที่ 1 (28 หน้า/นาที) 1 เครื่อง	406	599	320	38	2	65075.pdf	58
8,900	1289	610	68	29	2	65075.pdf	58
บาท	1401	613	51	22	2	65075.pdf	58
ส่วนใหญ่เป็นค่าจ้างเหมาดูแลทรัพย์สินและรักษาความปลอดภัย	188	1721	590	41	2	65075.pdf	59
ขบบ.62/2555 ปริมาตร 6 ลบ.ม.	428	1724	315	30	2	65075.pdf	60
07103-1	240	1781	95	26	2	65075.pdf	61
(1) ค่าใช้จ่ายในการประชุมครู	375	1775	281	40	2	65075.pdf	61
10,900	1278	1781	79	29	2	65075.pdf	61
บาท	1401	1784	51	22	2	65075.pdf	61
07126-1	240	717	95	25	2	65075.pdf	62
(7) ค่าใช้จ่ายในการส่งเสริมสนับสนุนให้นักเรียน	375	711	445	40	2	65075.pdf	62
2.1.3 ค่าวัสดุ	121	1780	138	40	3	65075.pdf	27
292,740	1091	1780	97	29	3	65075.pdf	27
บาท	1253	1783	55	24	3	65075.pdf	27
- เครื่องปรับอากาศ แบบแยกส่วน (ราคารวมค่าติดตัง)	375	1555	504	40	3	65075.pdf	28
2.1.3 ค่าวัสดุ	121	1780	138	40	3	65075.pdf	29
384,060	1091	1784	97	29	3	65075.pdf	29
บาท	1253	1783	55	24	3	65075.pdf	29
07103-1	240	504	95	26	3	65075.pdf	30
(1) ค่าใช้จ่ายในการฝึกอบรมอาสาสมัครป้องกันภัย	375	498	468	33	3	65075.pdf	30
ค่าซ่อมแซมยานพาหนะ	188	1404	225	30	3	65075.pdf	31
ส่วนใหญ่เป็นค่าวัสดุสํานักงาน ค่าวัสดุยานพาหนะ	180	1561	465	41	3	65075.pdf	32
ค่าครุภัณฑ์ ที่ดินและสิงก่อสร้าง	144	338	312	45	3	65075.pdf	33
22,000	1104	348	84	28	3	65075.pdf	33
บาท	1253	346	55	24	3	65075.pdf	33
ส่วนใหญ่เป็นค่าวัสดุน้ำมันเชื่อเพลิงและน้ำมันหล่อลืน	180	1555	500	47	3	65075.pdf	34
ส่วนใหญ่เป็นค่าวัสดุน้ำมันเชื่อเพลิงและน้ำมันหล่อลื่น	180	1768	500	47	3	65075.pdf	35
ส่วนใหญ่เป็นค่าวัสดุน้ำมันเชื่อเพลิงและน้ำมันหล่อลื่น	180	1768	500	47	3	65075.pdf	36
ค่าซ่อมแซมเครื่องจักรกลและเครื่องหุ่นแรง	180	1770	400	45	3	65075.pdf	37
2.1.3 ค่าวัสดุ	121	1780	138	40	3	65075.pdf	39
4,571,200	1072	1784	116	29	3	65075.pdf	39
บาท	1253	1783	55	24	3	65075.pdf	39
2.2 ค่าสาธารณูปโภค	121	284	239	46	3	65075.pdf	40
45,900	1104	294	84	29	3	65075.pdf	40
บาท	1253	293	55	24	3	65075.pdf	40
ค่าซ่อมแซมครุภัณฑ์	180	1668	194	41	3	65075.pdf	41
ค่าซ่อมแซมครุภัณฑ์	180	1668	194	41	3	65075.pdf	42
ค่าซ่อมแซมครุภัณฑ์	180	1668	194	41	3	65075.pdf	43
ตามกฎหมาย 1  เครื่อง	405	599	217	44	3	65075.pdf	44
38,510	1276	619	81	29	3	65075.pdf	44
บาท	1401	622	51	22	3	65075.pdf	44
ค่าซ่อมแซมครุภัณฑ์	180	1668	194	41	3	65075.pdf	45
ค่าซ่อมแซมยานพาหนะ ฯลฯ	180	1723	275	30	3	65075.pdf	46
4. งบรายจ่ายอิน	121	928	172	37	3	65075.pdf	47
2,500,000	1072	939	116	28	3	65075.pdf	47
บาท	1253	931	55	24	3	65075.pdf	47
ค่าซ่อมแซมยานพาหนะ ค่าธรรมเนียมในการรังวจัดที่สาธารณะฯลฯ	180	1610	612	36	3	65075.pdf	48
1มี,นและสิงก่อสร้าง4๕ฯ๕	152	338	311	45	3	65075.pdf	49
182,000	1093	348	95	28	3	65075.pdf	49
บาท	1253	346	55	24	3	65075.pdf	49
ค่าซ่อมแซมครุภัณฑ์ ฯลฯ	180	1721	242	41	3	65075.pdf	50
05119-3	240	717	97	26	3	65075.pdf	51
(2) เครื่องโทรสาร แบบใช้กระดาษธรรมดา ส่งเอกสารได้ครั้งละ	375	704	583	40	3	65075.pdf	51
ค่าซ่อมแซมยานพาหนะ ค่าพาหนะ เปบียเลี้ยง ทีพัก ฯลฯ	180	1768	517	38	3	65075.pdf	52
07199-8	240	1195	97	26	3	65075.pdf	53
(9) ค่าใช้จ่ายในการดําเนินงานศูนย์บริการและ	375	1189	430	41	3	65075.pdf	53
ค่าซ่อมแซมเครื่องจักรกลและเครื่องทุ่นแรง	195	1344	400	45	3	65075.pdf	54
2.2 ค่าวัสดุ	152	1354	119	40	3	65075.pdf	55
133,230	1093	1359	95	28	3	65075.pdf	55
บาท	1253	1357	55	24	3	65075.pdf	55
3. งบลงทุน	121	1737	122	34	3	65075.pdf	56
255,000	1091	1737	97	28	3	65075.pdf	56
บาท	1253	1730	55	24	3	65075.pdf	56
ค่าซ่อมแซมครุภัณฑ์	180	1721	194	41	3	65075.pdf	57
05198-4	240	557	97	26	3	65075.pdf	58
(1) เครื่องพิมพ์เลเซอร์ หรือ LED ขาวดํา ชนิด Network	375	546	526	38	3	65075.pdf	58
2.1.2 ค่าใช้สอย	121	1673	162	32	3	65075.pdf	59
13,127,200	1061	1678	127	28	3	65075.pdf	59
บาท	1253	1676	55	24	3	65075.pdf	59
- สร้างพื้น ค.ส.ล. หนา 0.10 ม. ตามแบบ	413	1662	387	38	3	65075.pdf	60
5. งบรายจ่ายอื่น	121	1726	172	37	3	65075.pdf	61
5,015,200	1072	1737	116	28	3	65075.pdf	61
บาท	1253	1730	55	24	3	65075.pdf	61
ผู้ปกครองเพื่อพัฒนาโรงเรียนสังกัดกรุงเทพมหานคร	406	653	482	45	3	65075.pdf	62
21300	1276	663	81	29	3	65075.pdf	62
บาท	1401	666	51	22	3	65075.pdf	62
ค่าจ้างเหมาบริการเป็นรายบุคคลฯ ค่าจ้างทําความสะอาดอาคาร ฯลฯ	180	1721	641	41	4	65075.pdf	27
ครูภัณฑ์ (ห้องฝ่ายเทศกิจ)	375	1508	249	41	4	65075.pdf	28
ค่าบํารุงรักษาซ่อมแซมเครื่องปรับอากาศ	180	1717	379	45	4	65075.pdf	29
3. งบรายจ่ายอยิน	121	449	172	37	4	65075.pdf	30
416,100	1091	459	97	29	4	65075.pdf	30
บาท	1253	453	55	24	4	65075.pdf	30
ค่าซ่อมแซมครุภัณฑ์	188	1348	194	41	4	65075.pdf	31
2.1.3 ค่าวัสดุ	121	1514	138	40	4	65075.pdf	32
226,000	1091	1518	97	28	4	65075.pdf	32
บาท	1253	1517	55	24	4	65075.pdf	32
3. งบลงทุน	121	300	122	34	4	65075.pdf	33
22,000	1104	300	84	28	4	65075.pdf	33
บาท	1253	293	55	24	4	65075.pdf	33
2.1.3 ค่าวัสดุ	121	1514	138	40	4	65075.pdf	34
317,800	1091	1518	97	28	4	65075.pdf	34
บาท	1253	1517	55	24	4	65075.pdf	34
2.1.3 ค่าวัสดุ	121	1727	138	40	4	65075.pdf	35
826,595	1091	1731	97	28	4	65075.pdf	35
บาท	1253	1730	55	24	4	65075.pdf	35
2.1.3 ค่าวัสดุ	121	1727	138	40	4	65075.pdf	36
3,112,235	1072	1731	116	28	4	65075.pdf	36
บาท	1253	1730	55	24	4	65075.pdf	36
ค่าซ่อมแซมยานพาหนะ ค่าซ่อมแซมครุภัณฑ์	180	1721	418	41	4	65075.pdf	37
ค่าซ่อมแซมเครื่องจักรกลและเครื่องหุ่นแรง	180	1717	400	45	4	65075.pdf	39
459	761	116	49	26	4	65075.pdf	40
ค่าซ่อมแซมยานพาหนะ	180	1616	226	30	4	65075.pdf	41
ค่าซ่อมแซมยานพาหนะ	180	1616	226	30	4	65075.pdf	42
ค่าซ่อมแซมยานพาหนะ	180	1616	226	30	4	65075.pdf	43
ระบบปฏิบัติการ (OS) แบบ GGWA ที่มีลิขสิทธิ์ถูกต้อง	405	545	506	46	4	65075.pdf	44
ค่าซ่อมแซมยานพาหนะ	180	1616	226	30	4	65075.pdf	45
ค่าซ่อมแซมถนน ตรอก ซอย สะพานและสิงสาธารณประโยชน์	180	1664	575	36	4	65075.pdf	46
ยาวประมาณ 180 ม.	391	820	204	28	4	65075.pdf	47
ส่วนใหญ่เป็นค่าจ้างเหมาล้างทําความสะอาดท่อระบายน้ำ	180	1555	532	44	4	65075.pdf	48
3. งบลงทุน	121	300	122	34	4	65075.pdf	49
182,000	1093	300	95	28	4	65075.pdf	49
บาท	1253	293	55	24	4	65075.pdf	49
ค่าพาหนะ เบียเลียง ทีพัก	180	1662	244	38	4	65075.pdf	50
แบบ GGWA ที่มีลิขสิทธ์ถูกตองตามกฎหมาย 1 เครี่อง	406	652	503	46	4	65075.pdf	51
25,510	1276	673	81	29	4	65075.pdf	51
บาท	1401	676	51	22	4	65075.pdf	51
ส่วนใหญ่เป็นค่าจ้างเหมาบริการเป็นรายบุคคลฯ	180	1721	443	41	4	65075.pdf	52
กรุงเทพมหานคร	405	1146	165	31	4	65075.pdf	53
180,000	1265	1151	92	29	4	65075.pdf	53
บาท	1401	1154	51	22	4	65075.pdf	53
ค่าซ่อมแซมครุภัณฑ์	195	1295	194	41	4	65075.pdf	54
ค่าซ่อมแซมยานพาหนะ ค่าซ่อมแซมครุภัณฑ์ ฯลฯ	195	1295	466	41	4	65075.pdf	55
ค่าวัสดุสํานักงาน ค่าวัสดุอุปกรณ์คอมพิวเตอร์ ฯลฯ	195	1614	474	41	4	65075.pdf	56
ค่าซ่อมแซมยานพาหนะ	180	1670	226	30	4	65075.pdf	57
ค่าครุภัณฑ์	152	502	116	41	4	65075.pdf	58
96,400	1104	507	84	29	4	65075.pdf	58
บาท	1253	506	55	24	4	65075.pdf	58
ค่านิตยภัต	180	1616	106	30	4	65075.pdf	59
ขนาด 10 % 12 ม.	428	1621	178	25	4	65075.pdf	60
กรุงเทพมหานคร	405	1624	165	31	4	65075.pdf	61
07125-1	240	610	95	25	4	65075.pdf	62
(6) ค่าใช้จ่ายในการสัมมนาประธานกรรมการเครือข่าย	375	604	504	33	4	65075.pdf	62
ส่วนใหญ่เป็นค่าจ้างเหมาดูแลทรัพย์สินและรักษาความปลอดภัย	180	1668	590	41	5	65075.pdf	27
- ปรับปรุงโรงเก็บของอเนกประสงค์ (งานระบายน่า)	375	1449	483	47	5	65075.pdf	28
ค่าซ่อมแซมยานพาหนะ	180	1670	226	30	5	65075.pdf	29
ค่าไฟฟ้า ค่านั้าประปา ค่าโทรศัพท์	165	331	325	38	5	65075.pdf	30
ค่าจ้างเหมาบริการเป็นรายบุคคล	188	1295	308	41	5	65075.pdf	31
ค่าซ่อมแซมยานพาหนะ ค่าซ่อมแซมครุภัณฑ์	180	1455	418	41	5	65075.pdf	32
452	761	116	49	25	5	65075.pdf	33
ค่าซ่อมแซมยานพาหนะ ค่าซ่อมแซมครุภัณฑ์	180	1455	418	41	5	65075.pdf	34
ค่าซ่อมแซมเครื่องจักรกลและเครื่องหุ่นแรง	180	1664	400	45	5	65075.pdf	35
ค่าซ่อมแซมเครื่องจักรกลและเครื่องหุ่นแรง	180	1664	400	45	5	65075.pdf	36
2.1.2 ค่าใช้สอย	121	1673	162	32	5	65075.pdf	37
428,820	1091	1677	97	29	5	65075.pdf	37
บาท	1253	1676	55	24	5	65075.pdf	37
ค่าซ่อมแซมยานพาหนะ	180	1670	226	30	5	65075.pdf	39
2.2 ค่าใช้สอย	144	1567	143	32	5	65075.pdf	41
43,560	1104	1571	84	29	5	65075.pdf	41
บาท	1253	1570	55	24	5	65075.pdf	41
2.2 ค่าใช้สอย	144	1567	143	32	5	65075.pdf	42
65,340	1104	1571	84	29	5	65075.pdf	42
บาท	1253	1570	55	24	5	65075.pdf	42
2.2 ค่าใช้สอย	152	1567	143	32	5	65075.pdf	43
16,320	1106	1572	82	28	5	65075.pdf	43
บาท	1253	1570	55	24	5	65075.pdf	43
(จอแสดงภาพขนาดไม่น้อยกว่า	406	498	290	33	5	65075.pdf	44
