,job,L1,L2,L3,amount
20,งาน: ปกครอง,"3. งบลงทุน 2,866,940 บาท","3.2 ค่าที่ดินและสิงก่อสร้าง 2,612,000 บาท","05302-10 ปรับปรุงสํานักงานเขตบางบอน 2,612,000 บาท","2,612,000"
21,งาน: ปกครอง,"1. งบบุคลากร 6,042,000 บาท","1.1 เงินเดือน 5,186,880 บาท","01101-1 อัตราเดิม 11 อัตรา 4,581,480 บาท","4,581,480"
22,งาน: ปกครอง,"1. งบบุคลากร 6,042,000 บาท","1.1 เงินเดือน 5,186,880 บาท","01102-1 เงินเลื่อนขั้น 274,920 บาท","274,920"
23,งาน: ปกครอง,"1. งบบุคลากร 6,042,000 บาท","1.1 เงินเดือน 5,186,880 บาท","01106-1 เงินประจําตําแหน่ง 152,640 บาท","152,640"
24,งาน: ปกครอง,"1. งบบุคลากร 6,042,000 บาท","1.1 เงินเดือน 5,186,880 บาท","01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 177,840 บาท","177,840"
25,งาน: ปกครอง,"1. งบบุคลากร 6,042,000 บาท","1.2 ค่าจ้างประจํา 760,800 บาท","01201-1 อัตราเดิม 4 อัตรา 708,060 บาท","708,060"
26,งาน: ปกครอง,"1. งบบุคลากร 6,042,000 บาท","1.2 ค่าจ้างประจํา 760,800 บาท","01202-1 เงินเพิ่มค่าจ้างประจํา 42,540 บาท","42,540"
27,งาน: ปกครอง,"1. งบบุคลากร 6,042,000 บาท","1.2 ค่าจ้างประจํา 760,800 บาท","01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 8,640 บาท","8,640"
28,งาน: ปกครอง,"1. งบบุคลากร 6,042,000 บาท","1.2 ค่าจ้างประจํา 760,800 บาท","01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 1,560 บาท","1,560"
29,งาน: ปกครอง,"1. งบบุคลากร 6,042,000 บาท","1.3 ค่าจ้างชัวคราว 86,400 บาท","02101-1 ค่าจ้างชัวคราว 1 อัตรา 67,680 บาท","67,680"
30,งาน: ปกครอง,"1. งบบุคลากร 6,042,000 บาท","1.3 ค่าจ้างชัวคราว 86,400 บาท","02102-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว 4,320 บาท","4,320"
31,งาน: ปกครอง,"1. งบบุคลากร 6,042,000 บาท","1.3 ค่าจ้างชัวคราว 86,400 บาท","02103-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างชั่วคราว 14,400 บาท","14,400"
32,งาน: ปกครอง,"1. งบบุคลากร 6,042,000 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ 7,920 บาท","03217-1 เงินสมทบกองทุนประกันสังคม 4,320 บาท","4,320"
33,งาน: ปกครอง,"1. งบบุคลากร 6,042,000 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ 7,920 บาท","03611-1 ค่าเครื่องแต่งกาย 3,600 บาท","3,600"
34,งาน: ปกครอง,"2. งบดําเนินงาน 2,330,280 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 801,480 บาท","2.1.1 ค่าตอบแทน 232,440 บาท","232,440"
35,งาน: ปกครอง,"2. งบดําเนินงาน 2,330,280 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 801,480 บาท","2.1.2 ค่าใช้สอย 184,980 บาท","184,980"
36,งาน: ปกครอง,"2. งบดําเนินงาน 2,330,280 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 801,480 บาท","2.1.3 ค่าวัสดุ 384,060 บาท","384,060"
37,งาน: ปกครอง,"2. งบดําเนินงาน 2,330,280 บาท","2.2 ค่าสาธารณูปโภค 1,528,800 บาท",,"1,528,800"
38,งาน: ปกครอง,"3. งบรายจ่ายอยิน 416,100 บาท","07103-1 (1) ค่าใช้จ่ายในการฝึกอบรมอาสาสมัครป้องกันภัย ฝ่ายพลเรือน (หลักสูตรหลัก) 64,100 บาท",,"64,100"
39,งาน: บริหารทัวไปและบริการทะเบียน,"3. งบรายจ่ายอยิน 416,100 บาท","07110-1 (2) ค่าใช้จ่ายเกี่ยวกับการสนับสนุนกิจการอาสาสมัคร ป้องกันภัยฝ่ายพลเรือน 352,000 บาท",,"352,000"
40,งาน: บริหารทัวไปและบริการทะเบียน,"1. งบบุคลากร 6,665,500 บาท","1.1 เงินเดือน 6,469,600 บาท","01101-1 อัตราเดิม 16 อัตรา 6,056,100 บาท","6,056,100"
41,งาน: บริหารทัวไปและบริการทะเบียน,"1. งบบุคลากร 6,665,500 บาท","1.1 เงินเดือน 6,469,600 บาท","01102-1 เงินเลื่อนขั้น 363,400 บาท","363,400"
42,งาน: บริหารทัวไปและบริการทะเบียน,"1. งบบุคลากร 6,665,500 บาท","1.1 เงินเดือน 6,469,600 บาท","01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 42,000 บาท","42,000"
43,งาน: บริหารทัวไปและบริการทะเบียน,"1. งบบุคลากร 6,665,500 บาท","1.1 เงินเดือน 6,469,600 บาท","01108-1 เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ 7,200 บาท","7,200"
44,งาน: บริหารทัวไปและบริการทะเบียน,"1. งบบุคลากร 6,665,500 บาท","1.1 เงินเดือน 6,469,600 บาท",01109-1 เงินช่วยเหลือค่าครองชีพของข้าราชการ 900 บาท,900
45,งาน: บริหารทัวไปและบริการทะเบียน,"1. งบบุคลากร 6,665,500 บาท","1.2 ค่าจ้างประจํา 194,700 บาท","01201-1 อัตราเดิม 1 อัตรา 183,600 บาท","183,600"
46,งาน: บริหารทัวไปและบริการทะเบียน,"1. งบบุคลากร 6,665,500 บาท","1.2 ค่าจ้างประจํา 194,700 บาท","01202-1 เงินเพิ่มค่าจ้างประจํา 11,100 บาท","11,100"
47,งาน: บริหารทัวไปและบริการทะเบียน,"1. งบบุคลากร 6,665,500 บาท","1.3 ค่าตอบแทน ใช้สอยและวัสดุ 1,200 บาท","03611-1 ค่าเครื่องแต่งกาย 1,200 บาท","1,200"
48,งาน: บริหารทัวไปและบริการทะเบียน,"2. งบดําเนินงาน 992,700 บาท","2.1 ค่าตอบแทน 376,800 บาท",,"376,800"
49,งาน: บริหารทัวไปและบริการทะเบียน,"2. งบดําเนินงาน 992,700 บาท","2.2 ค่าใช้สอย 376,300 บาท",,"376,300"
50,งาน: บริหารทัวไปและบริหารการคลัง,"2. งบดําเนินงาน 992,700 บาท","2.3 ค่าวัสดุ 239,600 บาท",,"239,600"
51,งาน: บริหารทัวไปและบริหารการคลัง,"1. งบบุคลากร 4,578,900 บาท","1.1 เงินเดือน 4,057,100 บาท","01101-1 อัตราเดิม 13 อัตรา 3,775,300 บาท","3,775,300"
52,งาน: บริหารทัวไปและบริหารการคลัง,"1. งบบุคลากร 4,578,900 บาท","1.1 เงินเดือน 4,057,100 บาท","01102-1 เงินเลื่อนขั้น 226,500 บาท","226,500"
53,งาน: บริหารทัวไปและบริหารการคลัง,"1. งบบุคลากร 4,578,900 บาท","1.1 เงินเดือน 4,057,100 บาท","01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 42,000 บาท","42,000"
54,งาน: บริหารทัวไปและบริหารการคลัง,"1. งบบุคลากร 4,578,900 บาท","1.1 เงินเดือน 4,057,100 บาท","01108-1 เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ 9,800 บาท","9,800"
55,งาน: บริหารทัวไปและบริหารการคลัง,"1. งบบุคลากร 4,578,900 บาท","1.1 เงินเดือน 4,057,100 บาท","01109-1 เงินช่วยเหลือค่าครองชีพของข้าราชการ 3,500 บาท","3,500"
56,งาน: บริหารทัวไปและบริหารการคลัง,"1. งบบุคลากร 4,578,900 บาท","1.2 ค่าจ้างประจํา 431,100 บาท","01201-1 อัตราเดิม 2 อัตรา 404,500 บาท","404,500"
57,งาน: บริหารทัวไปและบริหารการคลัง,"1. งบบุคลากร 4,578,900 บาท","1.2 ค่าจ้างประจํา 431,100 บาท","01202-1 เงินเพิ่มค่าจ้างประจํา 24,300 บาท","24,300"
58,งาน: บริหารทัวไปและบริหารการคลัง,"1. งบบุคลากร 4,578,900 บาท","1.2 ค่าจ้างประจํา 431,100 บาท","01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 2,300 บาท","2,300"
59,งาน: บริหารทัวไปและบริหารการคลัง,"1. งบบุคลากร 4,578,900 บาท","1.3 ค่าตอบแทน ใช้สอยและวัสดุ 90,700 บาท","03293-1 เงินสมทบเข้ากองทุนเงินทดแทน 88,300 บาท","88,300"
60,งาน: บริหารทัวไปและบริหารการคลัง,"1. งบบุคลากร 4,578,900 บาท","1.3 ค่าตอบแทน ใช้สอยและวัสดุ 90,700 บาท","03611-1 ค่าเครื่องแต่งกาย 2,400 บาท","2,400"
61,งาน: บริหารทัวไปและบริหารการคลัง,"2. งบดําเนินงาน 862,400 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 696,400 บาท","2.1.1 ค่าตอบแทน 288,400 บาท","288,400"
62,งาน: บริหารทัวไปและบริหารการคลัง,"2. งบดําเนินงาน 862,400 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 696,400 บาท","2.1.2 ค่าใช้สอย 182,000 บาท","182,000"
63,งาน: บริหารทัวไปและบริหารการคลัง,"2. งบดําเนินงาน 862,400 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 696,400 บาท","2.1.3 ค่าวัสดุ 226,000 บาท","226,000"
64,งาน: บริหารทัวไปและบริหารการคลัง,"2. งบดําเนินงาน 862,400 บาท","2.2 ค่าสาธารณูปโภค 166,000 บาท",,"166,000"
65,งาน: บริหารทัวไปและบริหารการคลัง,"3. งบลงทุน 22,000 บาท","05198-1 22,000 บาท",,"22,000"
66,งาน: บริหารทัวไปและจัดเก็บรายได้,"3. งบลงทุน 22,000 บาท","05198-1 เครื่องพิมพ์ชนิด Dot Matrix Printer แบบแคร่สั้น 1 เครื่อง 22,000 บาท",,"22,000"
67,งาน: บริหารทัวไปและจัดเก็บรายได้,"1. งบบุคลากร 3,658,800 บาท","1.1 เงินเดือน 2,980,500 บาท","01101-1 อัตราเดิม 10 อัตรา 2,768,600 บาท","2,768,600"
68,งาน: บริหารทัวไปและจัดเก็บรายได้,"1. งบบุคลากร 3,658,800 บาท","1.1 เงินเดือน 2,980,500 บาท","01102-1 เงินเลื่อนขั้น 163,200 บาท","163,200"
69,งาน: บริหารทัวไปและจัดเก็บรายได้,"1. งบบุคลากร 3,658,800 บาท","1.1 เงินเดือน 2,980,500 บาท","01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 42,000 บาท","42,000"
70,งาน: บริหารทัวไปและจัดเก็บรายได้,"1. งบบุคลากร 3,658,800 บาท","1.1 เงินเดือน 2,980,500 บาท","01108-1 เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ 5,800 บาท","5,800"
71,งาน: บริหารทัวไปและจัดเก็บรายได้,"1. งบบุคลากร 3,658,800 บาท","1.1 เงินเดือน 2,980,500 บาท",01109-1 เงินช่วยเหลือค่าครองชีพของข้าราชการ 900 บาท,900
72,งาน: บริหารทัวไปและจัดเก็บรายได้,"1. งบบุคลากร 3,658,800 บาท","1.2 ค่าจ้างประจํา 674,700 บาท","01201-1 อัตราเดิม 3 อัตรา 630,000 บาท","630,000"
73,งาน: บริหารทัวไปและจัดเก็บรายได้,"1. งบบุคลากร 3,658,800 บาท","1.2 ค่าจ้างประจํา 674,700 บาท","01202-1 เงินเพิ่มค่าจ้างประจํา 37,800 บาท","37,800"
74,งาน: บริหารทัวไปและจัดเก็บรายได้,"1. งบบุคลากร 3,658,800 บาท","1.2 ค่าจ้างประจํา 674,700 บาท","01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 4,300 บาท","4,300"
75,งาน: บริหารทัวไปและจัดเก็บรายได้,"1. งบบุคลากร 3,658,800 บาท","1.2 ค่าจ้างประจํา 674,700 บาท","01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 2,600 บาท","2,600"
76,งาน: บริหารทัวไปและจัดเก็บรายได้,"1. งบบุคลากร 3,658,800 บาท","1.3 ค่าตอบแทน ใช้สอยและวัสดุ 3,600 บาท","03611-1 ค่าเครื่องแต่งกาย 3,600 บาท","3,600"
77,งาน: บริหารทัวไปและจัดเก็บรายได้,"2. งบดําเนินงาน 2,633,700 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 619,700 บาท","2.1.1 ค่าตอบแทน 69,000 บาท","69,000"
78,งาน: บริหารทัวไปและจัดเก็บรายได้,"2. งบดําเนินงาน 2,633,700 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 619,700 บาท","2.1.2 ค่าใช้สอย 232,900 บาท","232,900"
79,งาน: บริหารทัวไปและจัดเก็บรายได้,"2. งบดําเนินงาน 2,633,700 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 619,700 บาท","2.1.3 ค่าวัสดุ 317,800 บาท","317,800"
80,งาน: บริหารทัวไปฝ่ายรักษาความสะอาด,"2. งบดําเนินงาน 2,633,700 บาท","2.2 ค่าสาธารณูปโภค 2,014,000 บาท",,"2,014,000"
81,งาน: บริหารทัวไปฝ่ายรักษาความสะอาด,"1. งบบุคลากร 16,613,480 บาท","1.1 เงินเดือน 790,060 บาท","01101-1 อัตราเดิม 2 อัตรา 737,320 บาท","737,320"
82,งาน: บริหารทัวไปฝ่ายรักษาความสะอาด,"1. งบบุคลากร 16,613,480 บาท","1.1 เงินเดือน 790,060 บาท","01102-1 เงินเลื่อนขั้น 44,340 บาท","44,340"
83,งาน: บริหารทัวไปฝ่ายรักษาความสะอาด,"1. งบบุคลากร 16,613,480 บาท","1.1 เงินเดือน 790,060 บาท","01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 8,400 บาท","8,400"
84,งาน: บริหารทัวไปฝ่ายรักษาความสะอาด,"1. งบบุคลากร 16,613,480 บาท","1.2 ค่าจ้างประจํา 10,860,460 บาท","01201-1 อัตราเดิม 47 อัตรา 9,957,640 บาท","9,957,640"
85,งาน: บริหารทัวไปฝ่ายรักษาความสะอาด,"1. งบบุคลากร 16,613,480 บาท","1.2 ค่าจ้างประจํา 10,860,460 บาท","01202-1 เงินเพิ่มค่าจ้างประจํา 442,800 บาท","442,800"
86,งาน: บริหารทัวไปฝ่ายรักษาความสะอาด,"1. งบบุคลากร 16,613,480 บาท","1.2 ค่าจ้างประจํา 10,860,460 บาท","01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 270,780 บาท","270,780"
87,งาน: บริหารทัวไปฝ่ายรักษาความสะอาด,"1. งบบุคลากร 16,613,480 บาท","1.2 ค่าจ้างประจํา 10,860,460 บาท","01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 189,240 บาท","189,240"
88,งาน: บริหารทัวไปฝ่ายรักษาความสะอาด,"1. งบบุคลากร 16,613,480 บาท","1.3 ค่าจ้างชัวคราว 4,608,000 บาท","02101-1 ค่าจ้างชัวคราว 32 อัตรา 3,367,620 บาท","3,367,620"
89,งาน: บริหารทัวไปฝ่ายรักษาความสะอาด,"1. งบบุคลากร 16,613,480 บาท","1.3 ค่าจ้างชัวคราว 4,608,000 บาท","02102-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว 472,380 บาท","472,380"
90,งาน: บริหารทัวไปฝ่ายรักษาความสะอาด,"1. งบบุคลากร 16,613,480 บาท","1.3 ค่าจ้างชัวคราว 4,608,000 บาท","02103-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างชั่วคราว 768,000 บาท","768,000"
91,งาน: บริหารทัวไปฝ่ายรักษาความสะอาด,"1. งบบุคลากร 16,613,480 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ 354,960 บาท","03217-1 เงินสมทบกองทุนประกันสังคม 230,400 บาท","230,400"
92,งาน: บริหารทัวไปฝ่ายรักษาความสะอาด,"1. งบบุคลากร 16,613,480 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ 354,960 บาท","03611-1 ค่าเครื่องแต่งกาย 11,440 บาท","11,440"
93,งาน: บริหารทัวไปฝ่ายรักษาความสะอาด,"1. งบบุคลากร 16,613,480 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ 354,960 บาท","03128-1 เงินตอบแทนพิเศษของลูกจ้างประจํา 113,120 บาท","113,120"
94,งาน: บริหารทัวไปฝ่ายรักษาความสะอาด,"2. งบดําเนินงาน 1,996,795 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 1,988,775 บาท","2.1.1 ค่าตอบแทน 1,090,710 บาท","1,090,710"
95,งาน: บริหารทัวไปฝ่ายรักษาความสะอาด,"2. งบดําเนินงาน 1,996,795 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 1,988,775 บาท","2.1.2 ค่าใช้สอย 71,470 บาท","71,470"
96,งาน: บริหารทัวไปฝ่ายรักษาความสะอาด,"2. งบดําเนินงาน 1,996,795 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 1,988,775 บาท","2.1.3 ค่าวัสดุ 826,595 บาท","826,595"
97,งาน: กวาดทําความสะอาดที่และทางสาธารณะ,"2. งบดําเนินงาน 1,996,795 บาท","2.2 ค่าสาธารณูปโภค 8,020 บาท",,"8,020"
98,งาน: กวาดทําความสะอาดที่และทางสาธารณะ,"1. งบบุคลากร 24,937,380 บาท","1.1 เงินเดือน 1,185,090 บาท","01101-1 อัตราเดิม 3 อัตรา 1,105,980 บาท","1,105,980"
99,งาน: กวาดทําความสะอาดที่และทางสาธารณะ,"1. งบบุคลากร 24,937,380 บาท","1.1 เงินเดือน 1,185,090 บาท","01102-1 เงินเลื่อนขั้น 66,510 บาท","66,510"
100,งาน: กวาดทําความสะอาดที่และทางสาธารณะ,"1. งบบุคลากร 24,937,380 บาท","1.1 เงินเดือน 1,185,090 บาท","01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 12,600 บาท","12,600"
101,งาน: กวาดทําความสะอาดที่และทางสาธารณะ,"1. งบบุคลากร 24,937,380 บาท","1.2 ค่าจ้างประจํา 16,290,690 บาท","01201-1 อัตราเดิม 70 อัตรา 14,936,460 บาท","14,936,460"
102,งาน: กวาดทําความสะอาดที่และทางสาธารณะ,"1. งบบุคลากร 24,937,380 บาท","1.2 ค่าจ้างประจํา 16,290,690 บาท","01202-1 เงินเพิ่มค่าจ้างประจํา 664,200 บาท","664,200"
103,งาน: กวาดทําความสะอาดที่และทางสาธารณะ,"1. งบบุคลากร 24,937,380 บาท","1.2 ค่าจ้างประจํา 16,290,690 บาท","01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 406,170 บาท","406,170"
104,งาน: กวาดทําความสะอาดที่และทางสาธารณะ,"1. งบบุคลากร 24,937,380 บาท","1.2 ค่าจ้างประจํา 16,290,690 บาท","01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 283,860 บาท","283,860"
105,งาน: กวาดทําความสะอาดที่และทางสาธารณะ,"1. งบบุคลากร 24,937,380 บาท","1.3 ค่าจ้างชัวคราว 6,912,000 บาท","02101-1 ค่าจ้างชัวคราว 48 อัตรา 5,051,430 บาท","5,051,430"
106,งาน: กวาดทําความสะอาดที่และทางสาธารณะ,"1. งบบุคลากร 24,937,380 บาท","1.3 ค่าจ้างชัวคราว 6,912,000 บาท","02102-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว 708,570 บาท","708,570"
107,งาน: กวาดทําความสะอาดที่และทางสาธารณะ,"1. งบบุคลากร 24,937,380 บาท","1.3 ค่าจ้างชัวคราว 6,912,000 บาท","02103-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างชั่วคราว 1,152,000 บาท","1,152,000"
108,งาน: กวาดทําความสะอาดที่และทางสาธารณะ,"1. งบบุคลากร 24,937,380 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ 549,600 บาท","03217-1 เงินสมทบกองทุนประกันสังคม 345,600 บาท","345,600"
109,งาน: กวาดทําความสะอาดที่และทางสาธารณะ,"1. งบบุคลากร 24,937,380 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ 549,600 บาท","03611-1 ค่าเครื่องแต่งกาย 34,320 บาท","34,320"
110,งาน: กวาดทําความสะอาดที่และทางสาธารณะ,"1. งบบุคลากร 24,937,380 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ 549,600 บาท","03128-1 เงินตอบแทนพิเศษของลูกจ้างประจํา 169,680 บาท","169,680"
111,งาน: กวาดทําความสะอาดที่และทางสาธารณะ,"2. งบดําเนินงาน 6,610,805 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 6,598,775 บาท","2.1.1 ค่าตอบแทน 3,272,130 บาท","3,272,130"
112,งาน: กวาดทําความสะอาดที่และทางสาธารณะ,"2. งบดําเนินงาน 6,610,805 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 6,598,775 บาท","2.1.2 ค่าใช้สอย 214,410 บาท","214,410"
113,งาน: กวาดทําความสะอาดที่และทางสาธารณะ,"2. งบดําเนินงาน 6,610,805 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 6,598,775 บาท","2.1.3 ค่าวัสดุ 3,112,235 บาท","3,112,235"
114,งาน: เก็บขยะมูลฝอยและขนถ่ายสิงปฏิกูล,"2. งบดําเนินงาน 6,610,805 บาท","2.2 ค่าสาธารณูปโภค 12,030 บาท",,"12,030"
115,งาน: เก็บขยะมูลฝอยและขนถ่ายสิงปฏิกูล,"1. งบบุคลากร 41,573,740 บาท","1.1 เงินเดือน 1,975,150 บาท","01101-1 อัตราเดิม 5 อัตรา 1,843,300 บาท","1,843,300"
116,งาน: เก็บขยะมูลฝอยและขนถ่ายสิงปฏิกูล,"1. งบบุคลากร 41,573,740 บาท","1.1 เงินเดือน 1,975,150 บาท","01102-1 เงินเลื่อนขั้น 110,850 บาท","110,850"
117,งาน: เก็บขยะมูลฝอยและขนถ่ายสิงปฏิกูล,"1. งบบุคลากร 41,573,740 บาท","1.1 เงินเดือน 1,975,150 บาท","01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 21,000 บาท","21,000"
118,งาน: เก็บขยะมูลฝอยและขนถ่ายสิงปฏิกูล,"1. งบบุคลากร 41,573,740 บาท","1.2 ค่าจ้างประจํา 27,151,150 บาท","01201-1 อัตราเดิม 118 อัตรา 24,894,100 บาท","24,894,100"
119,งาน: เก็บขยะมูลฝอยและขนถ่ายสิงปฏิกูล,"1. งบบุคลากร 41,573,740 บาท","1.2 ค่าจ้างประจํา 27,151,150 บาท","01202-1 เงินเพิ่มค่าจ้างประจํา 1,107,000 บาท","1,107,000"
