id,text,amount,filename,page,line_num
79,2.1 ค่าตอบแทน 354000 บาท,354000,65026.pdf,26,18
80,2.2 ค่าใช้สอย 405800 บาท,405800,65026.pdf,26,20
81,2.3 ค่าวัสดุ 135400 บาท,135400,65026.pdf,26,24
82,3. งบลงทุน 65400 บาท,65400,65026.pdf,27,1
83,05198-1 1 เก้าอี้ไม่มีล้อ มีท้าวแขนและพนักพิง 18 ตัว 32400 บาท,32400,65026.pdf,27,4
84,05198-2 (2) เก้าอี้เหล็กหมุนมีพนักพิง แบบปรับระดับได้ 15 ตัว 33000 บาท,33000,65026.pdf,27,5
85,งานบริหารทั่วไปและบริหารการคลัง 5395400 บาท,5395400,65026.pdf,28,1
86,1. งบบุคลากร 4494300 บาท,4494300,65026.pdf,28,2
87,1.1 เงินเดือน 4055400 บาท,4055400,65026.pdf,28,3
88,01101-1 อัตราเดิม 15 อัตรา 3749500 บาท,3749500,65026.pdf,28,4
89,01102-1 เงินเลื่อนขั้น 225000 บาท,225000,65026.pdf,28,5
90,01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 42000 บาท,42000,65026.pdf,28,6
91,01108-1 เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ 24000 บาท,24000,65026.pdf,28,7
92,01109-1 เงินช่วยเหลือค่าครองชีพของข้าราชการ 14900 บาท,14900,65026.pdf,28,8
93,1.2 ค่าจ้างประจํา 345300 บาท,345300,65026.pdf,28,9
94,01201-1 อัตราเดิม 2 อัตรา 313500 บาท,313500,65026.pdf,28,10
95,01202-1 เงินเพิ่มค่าจ้างประจํา 18800 บาท,18800,65026.pdf,28,11
96,01205-1 เงินเพิ่มการครองซีพชั่วคราวของลูกจ้างประจํา 8000 บาท,8000,65026.pdf,28,12
97,01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 5000 บาท,5000,65026.pdf,28,13
98,1.3 ค่าตอบแทน ใช้สอยและวัสดุ 93600 บาท,93600,65026.pdf,28,14
99,03293-1 เงินสมทบเข้ากองทุนเงินทดแทน 92300 บาท,92300,65026.pdf,28,15
100,03611-1 ค่าเครื่องแต่งกาย 1300 บาท,1300,65026.pdf,28,16
101,2. งบดําเนินงาน 862100 บาท,862100,65026.pdf,28,17
102,2.1 ค่าตอบแทน ใช้สอยและวัสดุ 746100 บาท,746100,65026.pdf,28,18
103,2.1.1 ค่าตอบแทน 307900 บาท,307900,65026.pdf,28,19
104,2.1.2 ค่าใช้สอย 202600 บาท,202600,65026.pdf,28,21
105,2.1.3 ค่าวัสดุ 235600 บาท,235600,65026.pdf,28,25
106,2.2 ค่าสาธารณูปโภค 116000 บาท,116000,65026.pdf,28,30
107,3. งบลงทุน 39000 บาท,39000,65026.pdf,29,1
108,05138-1 เครื่องคํานวณเลขไฟฟ้า แบบมีกระดาษบันทึก 10 เครื่อง 39000 บาท,39000,65026.pdf,29,4
109,งานบริหารทั่วไปและจัดเก็บรายได้ 5067750 บาท,5067750,65026.pdf,30,1
110,1. งบบุคลากร 3253300 บาท,3253300,65026.pdf,30,2
111,1.1 เงินเดือน 2850000 บาท,2850000,65026.pdf,30,3
112,01101-1 อัตราเดิม 12 อัตรา 2601200 บาท,2601200,65026.pdf,30,4
113,01102-1 เงินเลื่อนขั้น 156000 บาท,156000,65026.pdf,30,5
114,01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 42000 บาท,42000,65026.pdf,30,6
115,01108-1 เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ 30800 บาท,30800,65026.pdf,30,7
116,01109-1 เงินช่วยเหลือค่าครองชีพของข้าราชการ 20000 บาท,20000,65026.pdf,30,8
117,1.2 ค่าจ้างประจํา 400700 บาท,400700,65026.pdf,30,9
118,01201-1 อัตราเดิม 2 อัตรา 365800 บาท,365800,65026.pdf,30,10
119,01202-1 เงินเพิ่มค่าจ้างประจํา 21900 บาท,21900,65026.pdf,30,11
120,01205-1 เงินเพิ่มการครองซีพชั่วคราวของลูกจ้างประจํา 8000 บาท,8000,65026.pdf,30,12
121,01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 5000 บาท,5000,65026.pdf,30,13
122,1.3 ค่าตอบแทน ใช้สอยและวัสดุ 2600 บาท,2600,65026.pdf,30,14
123,03611-1 ค่าเครื่องแต่งกาย 2600 บาท,2600,65026.pdf,30,15
124,2. งบดําเนินงาน 1686900 บาท,1686900,65026.pdf,30,16
125,2.1 ค่าตอบแทน ใช้สอยและวัสดุ 474200 บาท,474200,65026.pdf,30,17
126,2.1.1 ค่าตอบแทน 78000 บาท,78000,65026.pdf,30,18
127,2.1.2 ค่าใช้สอย 169800 บาท,169800,65026.pdf,30,20
128,2.1.3 ค่าวัสดุ 226400 บาท,226400,65026.pdf,30,24
129,2.2 ค่าสาธารณูปโภค 1212700 บาท,1212700,65026.pdf,30,29
130,3. งบลงทุน 127550 บาท,127550,65026.pdf,31,1
131,05105-1 เครื่องคอมพิวเตอร์ สําหรับงานสํานักงาน (จอแสดงภาพขนาดไม่น้อยกว่า 19 นิ้ว) พร้อมโปรแกรมระบบปฏิบัติการ (OS) แบบ 6 ที่มีลิขสิทธิ์ถูกต้องตามกฎหมาย 5 เครื่อง 127550 บาท,127550,65026.pdf,31,4
132,งานบริหารทั่วไปฝ่ายรักษาความสะอาด 31933646 บาท,31933646,65026.pdf,32,1
133,1. งบบุคลากร 28304935 บาท,28304935,65026.pdf,32,2
134,1.1 เงินเดือน 886000 บาท,886000,65026.pdf,32,3
135,01101-1 อัตราเดิม 2 อัตรา 833200 บาท,833200,65026.pdf,32,4
136,01102-1 เงินเลื่อนขั้น 50000 บาท,50000,65026.pdf,32,5
137,01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 2800 บาท,2800,65026.pdf,32,6
138,1.2 ค่าจ้างประจํา 20983900 บาท,20983900,65026.pdf,32,7
139,01201-1 อัตราเดิม 95 อัตรา 19614800 บาท,19614800,65026.pdf,32,8
140,01202-1 เงินเพิ่มค่าจ้างประจํา 819100 บาท,819100,65026.pdf,32,9
141,01205-1 เงินเพิ่มการครองซีพชั่วคราวของลูกจ้างประจํา 339640 บาท,339640,65026.pdf,32,10
142,01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 210360 บาท,210360,65026.pdf,32,11
143,1.3 ค่าจ้างชั่วคราว 5875200 บาท,5875200,65026.pdf,32,12
144,02101-1 ค่าจ้างชั่วคราว 42 อัตรา 4280180 บาท,4280180,65026.pdf,32,13
145,02102-1 เงินเพิ่มการครองซีพชั่วคราวของลูกจ้างชั่วคราว 615820 บาท,615820,65026.pdf,32,14
146,02103-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างชั่วคราว 979200 บาท,979200,65026.pdf,32,15
147,1.4 ค่าตอบแทน ใช้สอยและวัสดุ 559835 บาท,559835,65026.pdf,32,16
148,03128-1 เงินตอบแทนพิเศษของลูกจ้างประจํา 261980 บาท,261980,65026.pdf,32,17
149,03217-1 เงินสมทบกองทุนประกันสังคม 293760 บาท,293760,65026.pdf,32,18
150,03611-1 ค่าเครื่องแต่งกาย 4095 บาท,4095,65026.pdf,32,19
151,2. งบดําเนินงาน 3268691 บาท,3268691,65026.pdf,32,20
152,2.1 ค่าตอบแทน ใช้สอยและวัสดุ 3188691 บาท,3188691,65026.pdf,32,21
153,2.1.1 ค่าตอบแทน 1574780 บาท,1574780,65026.pdf,32,22
154,2.1.2 ค่าใช้สอย 86540 บาท,86540,65026.pdf,32,24
155,2.1.3 ค่าวัสดุ 1527371 บาท,1527371,65026.pdf,32,27
156,2.2 ค่าสาธารณูปโภค 80000 บาท,80000,65026.pdf,33,1
157,3. งบลงทุน 360020 บาท,360020,65026.pdf,33,4
158,"05101-3 (1) เครื่องปรับอากาศ แบบแยกส่วน (ราคารวมค่าติดตั้ง) แบบตั้งพื้นหรือแบบแขวน ขนาด 26,000 04 1 เครื่อง 36000 บาท",36000,65026.pdf,33,7
159,05105-1 (2) เครื่องคอมพิวเตอร์ สําหรับงานสํานักงาน (จอแสดงภาพขนาดไม่น้อยกว่า 19 นิ้ว) พร้อมโปรแกรมระบบปฏิบัติการ (OS) แบบ GGWA ที่มีลิขสิทธิ์ถูกต้องตามกฎหมาย 12 เครื่อง 306120 บาท,306120,65026.pdf,33,9
160,05105-2 (3) เครื่องพิมพ์เลเซอร์ หรือ LED ขาวดํา ชนิด Network แบบที่ 1 (28 หน้า/นาที) 1 เครื่อง 8900 บาท,8900,65026.pdf,33,14
161,05198-5 (6) โต๊ะทํางานรูปตัวแอล 1 ตัว 9000 บาท,9000,65026.pdf,33,16
162,งานกวาดทําความสะอาดที่และทางสาธารณะ 54800253 บาท,54800253,65026.pdf,34,1
163,1. งบบุคลากร 42471735 บาท,42471735,65026.pdf,34,2
164,1.1 เงินเดือน 1329000 บาท,1329000,65026.pdf,34,3
165,01101-1 อัตราเดิม 4 อัตรา 1249800 บาท,1249800,65026.pdf,34,4
166,01102-1 เงินเลื่อนขั้น 75000 บาท,75000,65026.pdf,34,5
167,01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 4200 บาท,4200,65026.pdf,34,6
168,1.2 ค่าจ้างประจํา 31475850 บาท,31475850,65026.pdf,34,7
169,01201-1 อัตราเดิม 142 อัตรา 29422200 บาท,29422200,65026.pdf,34,8
170,01202-1 เงินเพิ่มค่าจ้างประจํา 1228650 บาท,1228650,65026.pdf,34,9
171,01205-1 เงินเพิ่มการครองซีพชั่วคราวของลูกจ้างประจํา 509460 บาท,509460,65026.pdf,34,10
172,01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 315540 บาท,315540,65026.pdf,34,11
173,1.3 ค่าจ้างชั่วคราว 8812800 บาท,8812800,65026.pdf,34,12
174,02101-1 ค่าจ้างชั่วคราว 63 อัตรา 6420270 บาท,6420270,65026.pdf,34,13
175,02102-1 เงินเพิ่มการครองซีพชั่วคราวของลูกจ้างชั่วคราว 923730 บาท,923730,65026.pdf,34,14
176,02103-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างชั่วคราว 1468800 บาท,1468800,65026.pdf,34,15
177,1.4 ค่าตอบแทน ใช้สอยและวัสดุ 854085 บาท,854085,65026.pdf,34,16
178,03128-1 เงินตอบแทนพิเศษของลูกจ้างประจํา 392970 บาท,392970,65026.pdf,34,17
179,03217-1 เงินสมทบกองทุนประกันสังคม 440640 บาท,440640,65026.pdf,34,18
180,03611-1 ค่าเครื่องแต่งกาย 20475 บาท,20475,65026.pdf,34,19
181,2. งบดําเนินงาน 12328518 บาท,12328518,65026.pdf,34,20
182,2.1 ค่าตอบแทน ใช้สอยและวัสดุ 12208518 บาท,12208518,65026.pdf,34,21
183,2.1.1 ค่าตอบแทน 6299120 บาท,6299120,65026.pdf,34,22
184,2.1.2 ค่าใช้สอย 193620 บาท,193620,65026.pdf,34,24
185,2.1.3 ค่าวัสดุ 5715778 บาท,5715778,65026.pdf,34,26
186,2.2 ค่าสาธารณูปโภค 120000 บาท,120000,65026.pdf,35,1
187,งานเก็บขยะมูลฝอยและขนถ่ายสิ่งปฏิกูล 91270331 บาท,91270331,65026.pdf,36,1
188,1. งบบุคลากร 70864030 บาท,70864030,65026.pdf,36,2
189,1.1 เงินเดือน 2215000 บาท,2215000,65026.pdf,36,3
190,01101-1 อัตราเดิม 6 อัตรา 2083000 บาท,2083000,65026.pdf,36,4
191,01102-1 เงินเลื่อนขั้น 125000 บาท,125000,65026.pdf,36,5
192,01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 7000 บาท,7000,65026.pdf,36,6
193,1.2 ค่าจ้างประจํา 52459750 บาท,52459750,65026.pdf,36,7
194,01201-1 อัตราเดิม 236 อัตรา 49037000 บาท,49037000,65026.pdf,36,8
195,01202-1 เงินเพิ่มค่าจ้างประจํา 2047750 บาท,2047750,65026.pdf,36,9
196,01205-1 เงินเพิ่มการครองซีพชั่วคราวของลูกจ้างประจํา 849100 บาท,849100,65026.pdf,36,10
197,01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 525900 บาท,525900,65026.pdf,36,11
198,1.3 ค่าจ้างชั่วคราว 14688000 บาท,14688000,65026.pdf,36,12
199,02101-1 ค่าจ้างชั่วคราว 105 อัตรา 10700450 บาท,10700450,65026.pdf,36,13
200,02102-1 เงินเพิ่มการครองซีพชั่วคราวของลูกจ้างชั่วคราว 1539550 บาท,1539550,65026.pdf,36,14
201,02103-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างชั่วคราว 2448000 บาท,2448000,65026.pdf,36,15
202,1.4 ค่าตอบแทน ใช้สอยและวัสดุ 1501280 บาท,1501280,65026.pdf,36,16
203,03128-1 เงินตอบแทนพิเศษของลูกจ้างประจํา 654950 บาท,654950,65026.pdf,36,17
204,03217-1 เงินสมทบกองทุนประกันสังคม 734400 บาท,734400,65026.pdf,36,18
205,03611-1 ค่าเครื่องแต่งกาย 111930 บาท,111930,65026.pdf,36,19
206,2. งบดําเนินงาน 20406301 บาท,20406301,65026.pdf,36,20
207,2.1 ค่าตอบแทน ใช้สอยและวัสดุ 20206301 บาท,20206301,65026.pdf,36,21
208,2.1.1 ค่าตอบแทน 10369900 บาท,10369900,65026.pdf,36,22
209,2.1.2 ค่าใช้สอย 387240 บาท,387240,65026.pdf,36,27
210,2.1.3 ค่าวัสดุ 9449161 บาท,9449161,65026.pdf,37,1
211,2.2 ค่าสาธารณูปโภค 200000 บาท,200000,65026.pdf,37,7
212,งานดูแลสวนและพื้นที่สีเขียว 24271880 บาท,24271880,65026.pdf,38,1
213,1. งบบุคลากร 13508980 บาท,13508980,65026.pdf,38,2
214,1.1 เงินเดือน 885500 บาท,885500,65026.pdf,38,3
215,01101-1 อัตราเดิม 2 อัตรา 835400 บาท,835400,65026.pdf,38,4
216,01102-1 เงินเลื่อนขั้น 50100 บาท,50100,65026.pdf,38,5
217,1.2 ค่าจ้างประจํา 10229800 บาท,10229800,65026.pdf,38,6
218,01201-1 อัตราเดิม 45 อัตรา 9509500 บาท,9509500,65026.pdf,38,7
219,01202-1 เงินเพิ่มค่าจ้างประจํา 570600 บาท,570600,65026.pdf,38,8
220,01205-1 เงินเพิ่มการครองซีพชั่วคราวของลูกจ้างประจํา 110900 บาท,110900,65026.pdf,38,9
221,01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 38800 บาท,38800,65026.pdf,38,10
222,1.3 ค่าจ้างชั่วคราว 2160080 บาท,2160080,65026.pdf,38,11
223,02101-1 ค่าจ้างชั่วคราว 15 อัตรา 1572800 บาท,1572800,65026.pdf,38,12
224,02102-1 เงินเพิ่มการครองซีพชั่วคราวของลูกจ้างชั่วคราว 227280 บาท,227280,65026.pdf,38,13
225,02103-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างชั่วคราว 360000 บาท,360000,65026.pdf,38,14
226,1.4 ค่าตอบแทน ใช้สอยและวัสดุ 233600 บาท,233600,65026.pdf,38,15
227,03128-1 เงินตอบแทนพิเศษของลูกจ้างประจํา 100900 บาท,100900,65026.pdf,38,16
228,03217-1 เงินสมทบกองทุนประกันสังคม 108000 บาท,108000,65026.pdf,38,17
229,03611-1 ค่าเครื่องแต่งกาย 24700 บาท,24700,65026.pdf,38,18
230,2. งบดําเนินงาน 10064800 บาท,10064800,65026.pdf,38,19
231,2.1 ค่าตอบแทน ใช้สอยและวัสดุ 9913100 บาท,9913100,65026.pdf,38,20
232,2.1.1 ค่าตอบแทน 708300 บาท,708300,65026.pdf,38,21
233,2.1.2 ค่าใช้สอย 5211400 บาท,5211400,65026.pdf,38,23
234,2.1.3 ค่าวัสดุ 3993400 บาท,3993400,65026.pdf,38,27
235,2.2 ค่าสาธารณูปโภค 151700 บาท,151700,65026.pdf,39,1
236,3. งบรายจ่ายอื่น 698100 บาท,698100,65026.pdf,39,4
237,07199-1 ค่าใช้จ่ายในการบํารุงรักษา ปรับปรุง และเพิ่มพื้นที่สีเขียว 698100 บาท,698100,65026.pdf,39,5
238,งานบริหารทั่วไปและสอบสวนดําเนินคดี 29396350 บาท,29396350,65026.pdf,40,1
239,1. งบบุคลากร 19877250 บาท,19877250,65026.pdf,40,2
240,1.1 เงินเดือน 2939720 บาท,2939720,65026.pdf,40,3
241,01101-1 อัตราเดิม 7 อัตรา 2757480 บาท,2757480,65026.pdf,40,4
242,01102-1 เงินเลื่อนขั้น 165440 บาท,165440,65026.pdf,40,5
243,01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 16800 บาท,16800,65026.pdf,40,6
244,1.2 ค่าจ้างประจํา 13844600 บาท,13844600,65026.pdf,40,7
245,01201-1 อัตราเดิม 64 อัตรา 12381560 บาท,12381560,65026.pdf,40,8
246,01202-1 เงินเพิ่มค่าจ้างประจํา 782720 บาท,782720,65026.pdf,40,9
247,01205-1 เงินเพิ่มการครองซีพชั่วคราวของลูกจ้างประจํา 418360 บาท,418360,65026.pdf,40,10
248,01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 261960 บาท,261960,65026.pdf,40,11
249,1.3 ค่าจ้างชั่วคราว 2880000 บาท,2880000,65026.pdf,40,12
250,02101-1 ค่าจ้างชั่วคราว 20 อัตรา 2089000 บาท,2089000,65026.pdf,40,13
251,02102-1 เงินเพิ่มการครองซีพชั่วคราวของลูกจ้างชั่วคราว 311000 บาท,311000,65026.pdf,40,14
252,02103-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างชั่วคราว 480000 บาท,480000,65026.pdf,40,15
253,1.4 ค่าตอบแทน ใช้สอยและวัสดุ 212930 บาท,212930,65026.pdf,40,16
254,03217-1 เงินสมทบกองทุนประกันสังคม 144000 บาท,144000,65026.pdf,40,17
255,03611-1 ค่าเครื่องแต่งกาย 68930 บาท,68930,65026.pdf,40,18
256,2. งบดําเนินงาน 9227130 บาท,9227130,65026.pdf,40,19
257,2.1 ค่าตอบแทน 1355780 บาท,1355780,65026.pdf,40,21
258,2.2 ค่าใช้สอย 7530375 บาท,7530375,65026.pdf,40,23
259,2.3 ค่าวัสดุ 340975 บาท,340975,65026.pdf,40,27
260,3. งบลงทุน 291970 บาท,291970,65026.pdf,41,1
261,05105-3 (1) เครื่องคอมพิวเตอร์ สําหรับงานสํานักงาน (จอแสดงภาพขนาดไม่น้อยกว่า 19 นิ้ว) พร้อมโปรแกรมระบบปฏิบัติการ (OS) แบบ GGWA ที่มีลิขสิทธิ์ถูกต้องตามกฎหมาย 7 เครื่อง 178570 บาท,178570,65026.pdf,41,4
262,"05101-5 (2) เครื่องปรับอากาศ แบบแยกส่วน (ราคารวมค่าติดตั้ง) แบบตั้งพื้นหรือแบบแขวน ขนาด 15,000 04 1 เครื่อง 25900 บาท",25900,65026.pdf,41,9
263,05203-2 (3) เครื่องถ่ายเอกสาร ระบบดิจิตอล (ขาว-ดํา) ความเร็ว 20 แผ่นต่อนาที 1 เครื่อง 87500 บาท,87500,65026.pdf,41,11
264,งานตรวจและบังคับใช้กฎหมาย 43185320 บาท,43185320,65026.pdf,42,1
265,1. งบบุคลากร 30332850 บาท,30332850,65026.pdf,42,2
266,1.1 เงินเดือน 4409580 บาท,4409580,65026.pdf,42,3
267,01101-1 อัตราเดิม 12 อัตรา 4136220 บาท,4136220,65026.pdf,42,4
268,01102-1 เงินเลื่อนขั้น 248160 บาท,248160,65026.pdf,42,5
269,01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 25200 บาท,25200,65026.pdf,42,6
