text,x,y,w,h,filename,line_num
7         a      y(4) ตู้เหล็ก บานเลื่อน 6 ตู้,546,1265,241,43,023.jpg,21
"19,800",1335,1277,75,27,023.jpg,21
บาท,1416,1279,50,22,023.jpg,21
,424,1325,91,24,023.jpg,22
ม จ้ก                 ew    4(5) เก้าอิโครงเหล็กบุนวม แบบมีพนักพิง 67 ตัว,546,1312,426,45,023.jpg,22
"28,200",1333,1326,77,27,023.jpg,22
บาท,1416,1328,50,22,023.jpg,22
,906,97,37,24,024.jpg,0
งานปกครอง,317,242,126,28,024.jpg,1
"7,768,340",1296,245,114,29,024.jpg,1
บาท,1415,248,53,22,024.jpg,1
1. งบบุคลากร,319,295,140,32,024.jpg,2
"5,698,150",1144,294,113,29,024.jpg,2
บาท,1262,297,53,22,024.jpg,2
1.1 เงินเดือน,339,338,131,30,024.jpg,3
"3,648,750",1144,342,113,29,024.jpg,3
บาท,1262,346,53,22,024.jpg,3
,424,393,92,24,024.jpg,4
อัตราเดิม 9 อัตรา,546,388,167,29,024.jpg,4
"3,178,850",1304,393,106,27,024.jpg,4
บาท,1416,395,50,22,024.jpg,4
,424,442,91,24,024.jpg,5
ao a 8.เงินนเลอนขน,547,429,116,37,024.jpg,5
"190,750",1322,442,88,27,024.jpg,5
บาท,1416,444,50,22,024.jpg,5
,424,491,91,24,024.jpg,6
เงินประจําตําแหน่ง,547,486,177,29,024.jpg,6
"127,200",1322,491,88,27,024.jpg,6
บาท,1416,493,50,22,024.jpg,6
,424,540,91,24,024.jpg,7
เงินค่าตอบแทนรายเดือนของข้าราชการ,547,533,360,31,024.jpg,7
"148,200",1322,540,88,28,024.jpg,7
บาท,1416,543,50,22,024.jpg,7
,424,589,91,24,024.jpg,8
เงินเพิมการครองชีพชั่วคราวของข้าราชการ,547,578,388,35,024.jpg,8
"2,900",1345,590,66,27,024.jpg,8
บาท,1416,592,50,22,024.jpg,8
,424,638,91,24,024.jpg,9
เงินช่วยเหลือค่าครองชีพของข้าราชการ,547,631,356,31,024.jpg,9
850,1363,639,47,24,024.jpg,9
บาท,1416,641,50,22,024.jpg,9
1.2 ค่าจ้างประจํา,339,682,172,30,024.jpg,10
"1,706,650",1146,685,111,29,024.jpg,10
บาท,1262,690,53,22,024.jpg,10
,424,736,91,24,024.jpg,11
อัตราเดิม 8 อัตรา,546,731,167,29,024.jpg,11
"1,584,700",1305,736,105,28,024.jpg,11
บาท,1416,739,50,22,024.jpg,11
,424,785,91,24,024.jpg,12
เงินเพิ่มค่าจ้างประจํา,547,774,195,35,024.jpg,12
"72,400",1333,785,77,28,024.jpg,12
บาท,1416,788,50,22,024.jpg,12
,424,834,91,24,024.jpg,13
เงินเพิมการครองชีพชัวคราวของลูกจ้างประจํา,547,823,415,43,024.jpg,13
"33,050",1334,835,76,27,024.jpg,13
บาท,1416,837,50,22,024.jpg,13
,424,883,91,24,024.jpg,14
เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา,547,876,383,39,024.jpg,14
"16,500",1335,884,75,27,024.jpg,14
บาท,1416,886,50,22,024.jpg,14
1.3 ค่าจ้างชัวคราว,339,922,186,35,024.jpg,15
"312,000",1163,932,94,28,024.jpg,15
บาท,1262,935,53,22,024.jpg,15
,424,982,91,24,024.jpg,16
ค่าจ้างชัวคราว 2 อัตรา,546,971,214,35,024.jpg,16
"231,600",1320,982,90,27,024.jpg,16
บาท,1416,984,50,22,024.jpg,16
,424,1031,91,24,024.jpg,17
เงินเพิมการครองชีพชั่วคราวของลูกจ้างชัวคราว,547,1020,424,43,024.jpg,17
"28,400",1333,1030,77,28,024.jpg,17
บาท,1416,1033,50,22,024.jpg,17
02103-1,424,1080,91,25,024.jpg,18
เงินช่วยเหลือค่าครองชีพของลูกจ้างชั่วคราว,547,1069,392,43,024.jpg,18
"52,000",1333,1080,77,27,024.jpg,18
บาท,1416,1082,50,22,024.jpg,18
1.4 ค่าตอบแทน ใช้สอยและวัสดุ,339,1123,310,39,024.jpg,19
"30,750",1176,1128,81,28,024.jpg,19
บาท,1262,1132,53,22,024.jpg,19
03128-1,424,1178,91,25,024.jpg,20
เงินตอบแทนพิเศษของลูกจ้างประจํา,547,1172,331,38,024.jpg,20
"15,150",1335,1179,75,27,024.jpg,20
บาท,1416,1181,50,22,024.jpg,20
03217-1,424,1227,91,25,024.jpg,21
เงินสมทบกองทุนประกันสังคม,547,1222,277,37,024.jpg,21
"15,600",1335,1228,75,27,024.jpg,21
บาท,1416,1230,50,22,024.jpg,21
2. งบดําเนินงาน,317,1320,163,30,024.jpg,22
1612590,1146,1325,111,29,024.jpg,22
บาท,1262,1328,53,22,024.jpg,22
2.1 ค่าตอบแทน ใช้สอยและวัสดุ,337,1368,312,39,024.jpg,23
"38,440",1176,1373,81,29,024.jpg,23
บาท,1262,1377,53,22,024.jpg,23
ค่าตอบแทน,385,1419,122,29,024.jpg,24
"38,440",1176,1422,81,29,024.jpg,24
ขบาท,1263,1426,52,22,024.jpg,24
ค่าอาหารทําการนอกเวลา,546,1467,238,29,024.jpg,25
2.2 ค่าสาธารณูปโภค,337,1516,207,39,024.jpg,26
"1574,150",1146,1520,111,29,024.jpg,26
บาท,1262,1524,53,22,024.jpg,26
ค่าไฟฟ้า,546,1564,83,31,024.jpg,27
ค่านําประปา,546,1607,122,37,024.jpg,28
ค่าโทรศัพท์,546,1662,112,31,024.jpg,29
,906,96,36,25,025.jpg,0
3. งบรายจ่ายอิน,317,235,166,35,025.jpg,1
"457,600",1163,245,94,29,025.jpg,1
บาท,1262,248,53,22,025.jpg,1
07103-1,424,294,91,25,025.jpg,2
(1) ค่าใช้จ่ายในการฝึกอบรมอาสาสมัคร,546,288,360,32,025.jpg,2
ป้องกันภัยฝ่ายพลเรือน (หลักสูตรหลัก),575,337,354,39,025.jpg,3
"64,100",1333,343,77,28,025.jpg,3
บาท,1416,346,50,22,025.jpg,3
07103-2,424,393,92,25,025.jpg,4
(2) ค่าใช้จ่ายในการฝึกอบรมอาสาสมัคร,546,387,360,32,025.jpg,4
ป้องกันภัยฝ่ายพลเรือน (หลักสูตรทบทวน)ศู,575,435,383,39,025.jpg,5
"41,500",1333,441,77,28,025.jpg,5
บาท,1416,444,50,22,025.jpg,5
,424,491,91,24,025.jpg,6
Ce Aen eee     ey    a(3) คา.ชจายเกยวกับการสนบสนุนกจการ,546,480,377,43,025.jpg,6
อาสาสมัครป้องกันภัยฝ่ายพลเรือน,575,533,313,31,025.jpg,7
"352,000",1321,541,89,27,025.jpg,7
บาท,1416,543,50,22,025.jpg,7
,906,97,37,24,026.jpg,0
งานบริหารทัวไปและบริการทะเบียน,317,235,342,35,026.jpg,1
"8,162,100",1296,245,114,29,026.jpg,1
ขบาท,1415,248,52,22,026.jpg,1
1. งบบุคลากร,319,295,140,32,026.jpg,2
"7,201,500",1144,295,113,28,026.jpg,2
บาท,1262,297,53,22,026.jpg,2
1.1 เงินเดือน,347,338,130,30,026.jpg,3
"7,038,200",1144,343,113,28,026.jpg,3
ขบาท,1263,346,52,22,026.jpg,3
,432,393,91,24,026.jpg,4
อัตราเดิม 17 อัตรา,553,388,180,29,026.jpg,4
"6,587,900",1303,393,107,27,026.jpg,4
บาท,1423,395,50,22,026.jpg,4
,432,442,91,24,026.jpg,5
ao a 8.เงินนเลอนขน,554,429,116,37,026.jpg,5
"395,300",1321,442,89,27,026.jpg,5
บาท,1423,444,50,22,026.jpg,5
,432,491,91,24,026.jpg,6
เงินค่าตอบแทนรายเดือนของข้าราชการ,554,484,360,31,026.jpg,6
"42,000",1333,490,77,28,026.jpg,6
บาท,1423,493,50,22,026.jpg,6
,432,540,91,24,026.jpg,7
เงินเพิมการครองชีพชั่วคราวของข้าราชการ,554,529,389,35,026.jpg,7
"8,000",1345,541,66,27,026.jpg,7
บาท,1423,543,50,22,026.jpg,7
,432,589,91,24,026.jpg,8
เงินช่วยเหลือค่าครองชีพของข้าราชการ,554,582,356,31,026.jpg,8
"5,000",1345,590,66,27,026.jpg,8
บาท,1423,592,50,22,026.jpg,8
1.2 ค่าจ้างประจํา,339,633,172,30,026.jpg,9
"162,000",1165,636,92,29,026.jpg,9
บาท,1262,641,53,22,026.jpg,9
,424,687,91,24,026.jpg,10
อัตราเดิม 1 อัตรา,546,682,167,29,026.jpg,10
"116,200",1322,688,88,27,026.jpg,10
บาท,1416,690,50,22,026.jpg,10
,424,736,91,24,026.jpg,11
เงินเพิ่มค่าจ้างประจํา,547,725,195,35,026.jpg,11
"7,000",1345,737,66,27,026.jpg,11
บาท,1416,739,50,22,026.jpg,11
,424,785,91,24,026.jpg,12
เงินเพิมการครองชีพชั่วคราวของลูกจ้างประจํา,547,774,415,43,026.jpg,12
"24,000",1333,785,77,28,026.jpg,12
บาท,1416,788,50,22,026.jpg,12
,424,834,91,24,026.jpg,13
เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา,547,827,383,39,026.jpg,13
"14,800",1335,834,75,28,026.jpg,13
บาท,1416,837,50,22,026.jpg,13
1.3 ค่าตอบแทน ใช้สอยและวัสดุ,339,877,310,39,026.jpg,14
"1,300",1191,883,66,28,026.jpg,14
บาท,1262,886,53,22,026.jpg,14
03611-1,424,933,91,25,026.jpg,15
iad     1คาเครองแตงกาย,546,922,161,35,026.jpg,15
"1,300",1347,933,64,27,026.jpg,15
บาท,1416,935,50,22,026.jpg,15
2. งบดําเนินงาน,317,1025,163,30,026.jpg,16
"895,200",1163,1031,94,28,026.jpg,16
บาท,1262,1033,53,22,026.jpg,16
ค่าตอบแทน ใช้สอยและวัสดุ,340,1073,272,39,026.jpg,17
"895,200",1163,1079,94,28,026.jpg,17
ขบาท,1262,1082,53,22,026.jpg,17
2.1 ค่าตอบแทน,340,1125,162,29,026.jpg,18
"354,000",1163,1127,94,29,026.jpg,18
ขบาท,1263,1132,52,22,026.jpg,18
ค่าอาหารทําการนอกเวลา,546,1173,238,29,026.jpg,19
2.2 ค่าใช้สอย,340,1221,139,31,026.jpg,20
"405,800",1163,1225,94,29,026.jpg,20
ขบาท,1263,1230,52,22,026.jpg,20
ค่าซ่อมแซมยานพาหนะ,546,1271,218,29,026.jpg,21
ต์.ค่าซ่อมแซมครุภัณฑ์,546,1318,188,39,026.jpg,22
ค่าจ้างเหมาบริการเป็นรายบุคคล,546,1367,299,40,026.jpg,23
,340,1418,116,38,026.jpg,24
"135,400",1165,1422,92,29,026.jpg,24
ขบาท,1263,1426,52,22,026.jpg,24
tw ก  a    ow  alคาว์สดุนามนเช้อเพลงและนามนหลอลน,546,1459,363,45,026.jpg,25
าวสดูสานกงานans,546,1517,159,37,026.jpg,26
0     ซ่       Ssคาว์สดุเครองคอมพว เตอร์,546,1560,240,43,026.jpg,27
ค่าวัสดุยานพาหนะ,546,1615,176,37,026.jpg,28
,906,97,37,24,027.jpg,0
3. งบลงทุน,317,246,118,32,027.jpg,1
"65,400",1176,245,81,29,027.jpg,1
บาท,1262,248,53,22,027.jpg,1
"1๑สมี,นและสิงก่อสร้าง",340,284,300,43,027.jpg,2
"65,400",1176,293,81,29,027.jpg,2
บาท,1262,297,53,22,027.jpg,2
,340,337,114,39,027.jpg,3
"65,400",1176,342,81,29,027.jpg,3
บาท,1262,346,53,22,027.jpg,3
,424,393,91,24,027.jpg,4
vay ay  Py       yas   »(1) เก้าอิไม่มีล้อ มีท้าวแขนและพนักพิง 18 ตัว,546,380,417,39,027.jpg,4
"32,400",1334,392,76,28,027.jpg,4
บาท,1416,395,50,22,027.jpg,4
,424,442,92,24,027.jpg,5
"ฆ ส้          ""      =,   wy   vy,(2) เก้าอิ๊เหล็กหมุนมีพนักพิง แบบปรับระดับได้ 15 ตัว",546,429,485,45,027.jpg,5
"33,000",1334,442,76,27,027.jpg,5
บาท,1416,444,50,22,027.jpg,5
